Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Coverage,Affiliate,Links,Notes,Web links,Features,EchoLink,Nets,IRLP,Grid,Downlink Tone,DMR ID,IPSC Network,Local Network,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,On-air,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,AllStar,YSF Digital Enabled,DG-ID,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,WIRES-X,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Wyoming,WyLOCAL,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,S,0,WSW,,08,8186,40.01499939,-105.27100372,446.8625,441.8625,yes,KC0DS (B),jfindu lookup / dstar-users lookup,Boulder,On-Air,Boulder County ARES,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,D,0,WSW,,08,8185,40.015,-105.271,446.8,441.8,,,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2017-03-11,,yes,7,,Wide area.,Rocky Mountain Ham Radio,Full-time to the Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,S,0,WSW,,08,8221,40.01499939,-105.27100372,1299.5,1279.5,yes,W0DK (A) DVAP 24/7,jfindu lookup / dstar-users lookup,Boulder,On-Air,Boulder County ARES,CCARC,2012-11-12,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,,0.05,ESE,,08,21,40.01499939,-105.26999664,449.4,444.4,,,,Boulder,Off-Air,BARC,CCARC,2013-01-08,91.5,,,,,,,,http://www.ked-wireless.com/products1.htm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,,0.05,ESE,ON - IDLE,08,11,40.01499939,-105.26999664,449.55,444.55,,,,Boulder,On-Air,Rocky Mtn VHF Soc,CCARC,2017-03-11,100,,,,Denver metro area.,,"Full-time to 224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,8,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,820,ATV,W0BTV,Boulder,CO,OPEN,,,2.53,S,,08,18534,39.97848511,-105.27445221,423,1243,,,,Boulder,On-Air,BATVC,,2020-02-25,ATV,,,,"Wide Area, WY border to DIA to SE Denver",ATN,,,https://kh6htv.com/,"dual-mode, NTSC analog &amp; DVB-T digital ATV",,"ATV, Thurs, 3pm local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,,2.54,S,,08,13,39.97829819,-105.27500153,146.61,146.01,,,,Boulder,On-Air,Boulder Amateur Radio Club,CCARC,2019-08-23,100,,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,,2.57,S,,08,10,39.97800064,-105.27500153,448.9,443.9,,,,Boulder,On-Air,Boulder ARC,CCARC,2013-03-17,100,,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,,2.63,S,,08,14,39.97750092,-105.27899933,146.7,146.1,,,,Boulder,On-Air,Boulder Co ARC,CCARC,2013-03-17,100,,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",,,,BARC Repeaters,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,S,2.66,NE,,08,8171,40.03720093,-105.23000336,145.3875,144.7875,yes,KC0DS (C),jfindu lookup / dstar-users lookup,Boulder,On-Air,Boulder County ARES,CCARC,2012-11-12,,,,,20,,,,http://bouldercountyares.org/technical/d-star,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
