Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,IRLP,Coordination,Last update,Coverage,Sponsor,Web links,Downlink Tone,Grid,Affiliate,Features,Links,AllStar,Notes,Nets,Feed,YSF Digital Enabled,DG-ID,WIRES-X,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,Mixed-Mode,DMR Enabled,Color Code,Wide Network,DMR ID,On-air,Local Network,P-25 Digital Enabled,NAC,Default Reflector,IPSC Network,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Talkgroup Network,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide English,Colorado,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,,3.38,NNE,Node Offline,08,8739,40.0276,-104.789,447.3,442.3,107.2,Weld,On-Air,405804,3887,CCARC,2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,5.76,E,,08,9771,40.0072,-104.716,447.625,442.625,100,Adams,On-Air,,,,2015-05-23,Local/North Metro,Intermountain Repeater Group,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,,6.88,N,,08,8183,40.0847,-104.813,224.96,223.36,CSQ,Weld,On-Air,,,CCARC,2012-11-12,,AC0KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,9.78,E,Node Offline,08,8216,40.0202,-104.642,449.925,444.925,114.8,Weld,On-Air,448035,8035,CCARC,2018-12-01,,K0EB,,114.8,DN70,K0UPS Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,11.17,SW,,08,185,39.8856,-104.987,147.045,147.645,123,Adams,On-Air,,,CCARC,2017-04-10,,Northglenn RA,,CSQ,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,13.59,SSE,Node Offline,08,9765,39.7967,-104.748,448.15,443.15,141.3,Denver,On-Air,24340,,CCARC,2019-08-22,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,K0GUR,k0jsc.com,141.3,DM79pt,,E-power (batt). 2 meter and 70cm channel steerable remote bases.,Full-time to the The Fun Machine System .,29436,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,,14.73,WSW,,08,26,39.9206,-105.086,448.925,443.925,131.8,Boulder,Off-Air,,,CCARC,2019-06-19,,W0LMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,,14.73,WSW,,08,266,39.9206,-105.086,449.825,444.825,103.5,Boulder,Off-Air,,,CCARC,2019-06-19,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,Repeater,,,,6,,,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,15.38,SW,Node Offline,08,8208,39.8367,-105.037,449.3,444.3,100,Adams,On-Air,43699,3699,CCARC,2017-04-24,,N1UPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,17.69,S,,08,92,39.7294,-104.831,448.5,443.5,100,Denver,On-Air,,,CCARC,2017-03-11,Greater Denver area.,Castle Rock Repeater Group,,,,,E-power.,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
