Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Coverage,Affiliate,Last update,Op Status,Sponsor,Coordination,Web links,Downlink Tone,Features,Links,IRLP,Commands,Notes,Nets,EchoLink,DMR Enabled,Color Code,DMR ID,Wide Network,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,P-25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Devilshead Local,Mixed-Mode,Bandwidth,Eastern Colorado,YSF Digital Enabled,DG-ID,Local Network,TAC 311,Colorado,Colorado Chat,IPSC Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Worldwide English,Local/Cluster,N. Colorado
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,13.44,NE,,08,3745,38.9016,-107.926,147.195,147.795,107.2,Delta,Unknown,Local.,Colorado District 25 ARES,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,13.44,NE,,08,3749,38.9016,-107.926,147.36,147.96,100,Delta,,,,2019-08-26,On-Air,W0ALC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,13.44,NE,,08,3760,38.9016,-107.926,449.825,444.825,100,Delta,Unknown,,,2018-04-04,,W0ALC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,18.18,NNE,,08,3755,38.9944,-107.973,447.35,442.35,107.2,Delta,Unknown,,,2012-11-10,,Grand Mesa Repeater Assoc (GMRA),CCARC,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,21,SSE,,08,12442,38.4783,-107.876,146.91,146.31,107.2,Montrose,,,,2014-12-13,On-Air,,CCARC,,107.2,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,21,SSE,,08,7953,38.4783,-107.876,146.79,146.19,107.2,Montrose,,,,2012-09-06,On-Air,KC0UXX,CCARC,,107.2,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,23.51,NNE,,08,8763,39.0666,-107.937,449.65,444.65,151.4,Mesa,,Wide area coverage,,2016-10-28,On-Air,Keri Washburn,CCARC,,151.4,NWS weather alert system.,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",8162,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,23.54,NNE,,08,149,39.0667,-107.936,145.355,144.755,88.5,Mesa,,"Rifle to the east, several miles east of Green River, Utah to the west.",,2017-01-06,On-Air,Colorado Connection,CCARC,,123,E-power.,Full-time to the Colorado Connection System .,,,Colorado Connection system of repeaters,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,23.72,NNW,,08,154,39.0539,-108.254,449.3,444.3,107.2,Mesa,,Wide Area I-70 West Rifle to Western Utah,,2018-01-16,On-Air,,CCARC,http://www.gmra.org/,107.2,e-power Linked to GMRA Open System,,3710,,Closed IRLP out,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,25.41,WNW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,Mesa,,,,2016-04-22,On-Air,,CCARC,,,,,7963,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
