Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Coverage,Sponsor,Affiliate,Features,AllStar,Notes,Nets,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Web links,Links,Rocky Mountain Wide,IRLP,Commands,On-air,Feed,EchoLink,Devilshead Local,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,YSF Digital Enabled,DG-ID,Bandwidth,Eastern Colorado,Location Photo,Local Network,WIRES-X,TAC 310,TAC 311,Colorado,Colorado Chat,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
447.125,-5,103.5,AA0BF,"Fairplay, Sacramento Mountain",CO,OPEN,A,,4.66,WSW,,08,5336,39.20999908,-106.08699799,447.125,442.125,103.5,103.5,Park,DM69wf,On-Air,"Covers Fairplay, Alma, and western South Park.",AA0BF,"Park County Radio Club, AB0PC",Emergency automatic generator.,45840,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",CCARC,2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,D,10.03,WNW,,08,16783,39.26530075,-106.18199921,445.05,440.05,,,Lake,DM69VG,On-Air,,K2AD,Rocky Mountain Ham Radio,,,,,CCARC,2019-11-27,yes,7,310852,RMHR c Record retrieved from radioid.net,,RMHAM,"Open Talkgroup View Assignment TS TG Access Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,,10.6,WNW,,08,172,39.28139877,-106.18599701,145.445,144.845,88.5,,Lake,,On-Air,,Colorado Connection,,E-power (solar).,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,CCARC,2019-08-16,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,N0SZ,"Fairplay, Badger",CO,OPEN,,D,14.18,SSE,,08,12698,39.0469017,-105.87000275,446.7625,441.7625,,,Park,,On-Air,,K7PFJ,RMHAM,,,,,,2019-11-27,yes,7,310827,RMHR c Record retrieved from radioid.net,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,,15.25,N,,08,24,39.44390106,-105.96900177,147.39,147.99,88.5,123,Summit,DM79AK,On-Air,Wide area.,Colorado Connection,,12,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-. This machine has a split tone, 88.5 rx and 123.0 tx",Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,CCARC,2019-11-08,,,,,,,,,,,Breckenridge Repeater,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,15.68,W,,08,10827,39.25080109,-106.29299927,147.24,147.84,156.7,156.7,Lake,,On-Air,,,,,,,,CCARC,2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC,N0SZ,"Breckenridge, Baldy",CO,OPEN,,D,16.24,N,,08,16780,39.45899963,-105.97899628,445.0875,440.0875,,,Fremont,DM79AL,On-Air,,K2AD,Rocky Mountain Ham Radio,,,,,,2019-11-27,yes,7,310830,RMHAM c Record retrieved from radioid.net,,,,,,,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,17.86,N,,08,23,39.4817009,-106.03800201,146.7,146.1,107.2,,Summit,,On-Air,,GRARC,,E-power.,,,,CCARC,2013-01-07,,,,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,23.88,S,,08,9840,38.88330078,-105.93299866,448.575,443.575,103.5,103.5,Park,DM78AV,Off-Air,Western Park County,,,,,,,CCARC,2017-11-22,,,,,,,,,,,,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,,28.87,SE,,08,169,39.04940033,-105.51300049,146.685,146.085,107.2,107.2,Park,DM79FB,On-Air,,Mountain ARC (MARC),,"Closed autopatch, e-power.",,,MARC/PCRC: Tue at 19:30.,CCARC,2016-11-17,,,,,,,,,,,,"Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,,28.93,SE,,08,170,39.0489006,-105.51200104,147.36,147.96,107.2,107.2,Park,DM79FB,On-Air,Wide area.,,,E-power.,,,,CCARC,2018-01-15,,,,,,,,,,,CMRG Repeaters,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,,30.92,E,,08,7,39.4056015,-105.47299957,146.895,146.295,100,100,Park,,On-Air,285,AB0RR,,25,45835,,Wed at 19:30.,CCARC,2017-07-05,,,,,,,,,,,Park County Radio Club (PCRC),"Full-time internet linked to 448.57500 (WZ0N) at Hartsel, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,32.43,NW,,08,256,39.60609818,-106.35600281,146.61,146.01,107.2,,Eagle,,On-Air,,ECHO,,11,,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,34.91,NW,,08,242,39.64030075,-106.37400055,224.8,223.2,,,Eagle,,Off-Air,,ECHO,,,,,,CCARC,2018-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,34.91,NW,,08,243,39.64030075,-106.37400055,449.9,444.9,107.2,107.2,Eagle,,Off-Air,,ECHO,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,36.93,SSW,,08,184,38.71289825,-106.19999695,146.745,146.145,100,,Chaffee,,On-Air,,CLARA,,E-power.,,,,CCARC,2019-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,N0SZ,Vail,CO,OPEN,,D,36.97,NW,,08,16781,39.63479996,-106.4469986,445.075,440.075,,,Eagle,DM69SP,On-Air,,K2AD,Rocky Mountain Ham Radio,,,,,CCARC,2019-11-27,yes,7,310851,RMHR c Record retrieved from radioid.net,,,,,,,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,38.41,NW,,08,241,39.65539932,-106.45700073,147.345,147.945,88.5,123,Eagle,,On-Air,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass. Map,Colorado Connection,,9,,,Central Colorado Traffic Net: Daily at 19:3030 Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES net: Sun at 20:00.,CCARC,2017-01-06,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,,38.51,SE,,08,8214,38.97969818,-105.35700226,449.7,444.7,107.2,,Park,,,,CMRG,,,,,,CCARC,2012-11-12,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,,40.05,E,,08,59,39.51480103,-105.35299683,147.12,147.72,88.5,88.5,Jefferson,DM79HM,On-Air,Denver metro and east.,Aurora Repeater Association,,E-power.,,,,CCARC,2016-01-17,,,,,,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.53,NE,,08,99,39.6794014,-105.49299622,449.45,444.45,103.5,127.3,Clear Creek,DM79GQ,On-Air,"Wide area: West to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mountain Radio League,,11,,,RMRL: Mon at 20:30.,CCARC,2016-12-23,,,,,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.54,NE,,08,8197,39.67969894,-105.49299622,448.225,443.225,141.3,141.3,Clear Creek,DM79GQ,On-Air,,Rocky Mountain Ham Radio,,E-power(gen).,,,,CCARC,2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,D,41.55,NE,,08,7190,39.67979813,-105.49299622,446.9375,441.9375,,,Clear Creek,,On-Air,,Rocky Mountain Ham Radio,,,,See the website for programming information.,,CCARC,2019-11-27,yes,7,310801,RMHR c Record retrieved from radioid.net,,RMHAM,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Full-Time Southern Colorado 2 719 Full-Time Central Regional 2 720 Full-Time Northern Colorado Regional 2 721 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,Rocky Mountain Ham Radio,Full-time to the Colorado TRBO System .,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,,41.55,NE,,08,81,39.67979813,-105.49299622,146.94,146.34,103.5,103.5,Clear Creek,DM79GQ,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,,11,,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,CCARC,2017-03-11,,,,,,,,,,,Repeater,"Linkable to 449.82500 (W0WYX) at Broomfield, CO . Linkable to 449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,Autopatch: 911* / Off 0*.,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
