Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,County,Op Status,Affiliate,Features,Links,Notes,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Nets,Grid,EchoLink,IRLP,YSF Digital Enabled,DG-ID,Mixed-Mode,D-STAR Enabled,Node,Sources,AllStar,Feed,Commands,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Worldwide English,North America,Colorado,WIRES-X,Central Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,On-air,Local Network,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local,Wyoming,WyLOCAL,Eastern Colorado,Location Photo
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,0,NW,yes,08,10783,40.2503,-103.8,448.2,443.2,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Rocky Mountain Wide  1  700      Northern Colorado Regional  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Morgan,On-Air,NEAHR,Mixed Mode,Full-time to the  Colorado TRBO System .,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",Rocky Mountain Ham Radio,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,31.5,ESE,yes,08,2,40.1606,-103.214,145.4,144.8,88.5,,,,,,,Washington,On-Air,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters,,CCARC,2018-11-02,123,Northeastern plains of Colorado.,Colorado Connection,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,31.5,ESE,yes,08,16784,40.1605,-103.214,448.175,443.175,,yes,7,,,,,Morgan,On-Air,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,CCARC,2018-02-01,,,W0FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,40.6,NE,yes,08,238,40.6256,-103.207,145.295,144.695,,,,,,,,Logan,On-Air,,"Autopatch, e-power.",,,,CCARC,2018-07-10,,Wide area,NECARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,47.2,WSW,yes,08,8216,40.0202,-104.642,449.925,444.925,114.8,,,,,,,Weld,On-Air,K0UPS Club,,,,,CCARC,2018-12-01,114.8,,K0EB,,DN70,448035,8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,48.6,WNW,yes,08,156,40.4036,-104.7,146.85,146.25,100,,,,,,,Weld,On-Air,,"E-power, WX.",,,,CCARC,2017-05-08,100,,Northern Colorado ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,48.7,WNW,yes,08,159,40.4037,-104.703,449.725,444.725,127.3,,,,,,,Weld,On-Air,,"Autopatch, WX.",,,,CCARC,2014-08-21,,,K0OJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,49.3,WNW,yes,08,157,40.4233,-104.709,147,147.6,100,,,,,,,Weld,On-Air,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,,,CCARC,2017-05-06,100,,Weld ARS,,,,3839,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,49.3,WNW,yes,08,158,40.4233,-104.709,448.475,443.475,100,,,,,,,Weld,On-Air,,,,,http://www.warsco.org/,CCARC,2015-06-07,,,Weld Amateur Radio Society (WARS),,,,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,49.3,WNW,yes,08,8210,40.4233,-104.709,449.325,444.325,,,,,,,,Weld,On-Air,,,,,,CCARC,2012-11-12,,,Colorado Amateur Repeater Network (CARN),,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
