Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Last update,Coordination,Features,AllStar,Downlink Tone,Commands,Web links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Grid,Links,Notes,YSF Digital Enabled,DG-ID,Mixed-Mode,D-STAR Enabled,Node,Sources,Nets,IRLP,Affiliate,P-25 Digital Enabled,NAC,Default Reflector,EchoLink,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Feed,On-air,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Devilshead Local,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Mountain Reg USA,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Location Photo,Wyoming,WyLOCAL
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,0,NNW,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,156.7,Jefferson,On-Air,Golden and Denver.,N0PYY,2017-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,0.01,N,,08,143,39.75559998,-105.22100067,448.125,443.125,107.2,Jefferson,On-Air,,Denver PD EEB,2014-04-28,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,0.01,N,,08,137,39.75559998,-105.22100067,448.975,443.975,123,Jefferson,On-Air,Wide area.,FRG,2019-09-06,CCARC,Linkable VHF/UHF Remote Base,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,1.75,SSW,,08,18156,39.7333,-105.237,927.975,902.0375,67,Jefferson,On-Air,"Denver, Golden",,2019-10-05,,AllStar,,67,Standard AllStar,http://www.w0sky.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,1.82,SSW,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,Jefferson,On-Air,,WA2YZT,2019-11-27,CCARC,200,,,,,yes,7,310802,RMHR c Record retrieved from radioid.net,,DM79JR,Full-time to the Colorado TRBO System .,See website for more info on CC/TS/TG programming. www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,1.83,SSW,,08,139,39.733,-105.239,449.625,444.625,141.3,Jefferson,On-Air,,,2019-06-19,CCARC,E-power,,141.3,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,1.83,SSW,,08,10939,39.73070145,-105.23300171,145.37,144.77,,Jefferson,On-Air,,Rocky Mountain Ham Radio,2019-11-27,CCARC,700,,,,Rocky Mountain Ham Radio,yes,7,310808,RMHR c Record retrieved from radioid.net,,DM79JR,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,1.84,SSW,,08,3739,39.73049927,-105.23300171,145.25,144.65,,Jefferson,On-Air,,Colorado D-Star,2014-01-03,CCARC,,,,,Colorado D-Star,,,,,,DM79JR,,,,,,yes,W0CDS (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,1.84,SSW,,08,2769,39.73049927,-105.23300171,446.9625,441.9625,,Jefferson,On-Air,,Colorado D-Star,2017-03-11,CCARC,,,,,Colorado D-Star,,,,,,DM79JR,,,,,,yes,W0CDS (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,1.84,SSW,,08,3751,39.73049927,-105.23300171,1283.9625,1263.9625,,Jefferson,On-Air,,Colorado D-Star,2014-01-03,CCARC,,,,,Colorado D-Star,,,,,,DM79JR,,,,,,yes,W0CDS (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,1.84,SSW,,08,8222,39.73049927,-105.23300171,1299.9,1299.9,,Jefferson,On-Air,,Colorado D-Star,2014-01-03,,,,,,Colorado D-Star,,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC,KB0VGD,"Golden, Table Mountain",CO,OPEN,,D,2.03,N,"KB0VGD North Table Mtn. Golden Wide area coverage. Please use ONLY TG 310811, TG 3171, TG 3108, and TG 2 (Local 2) on Time Slot 2 (TS2). ALL OTHER TG connections will be directed to Time Slot 1 (TS1).",08,14273,39.7845993,-105.21600342,446.975,441.975,,Jefferson,On-Air,Denver Metro Area,W0DMR,2019-11-27,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310. TS 2, CC 2: TG 2 - Local",http://www.w0dmr.org/,yes,2,310811,NoCo c Record retrieved from radioid.net,,,,,,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,4.42,SSE,,08,105,39.70080185,-105.1780014,53.09,51.39,107.2,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,2017-03-11,CCARC,E-power.,,,,DRC Repeaters,,,,,,DM79JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,5.22,ESE,,08,9775,39.75049973,-105.1230011,147.21,147.81,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,2020-01-23,,,,100,,http://www.dwarc.com,,,,,,DM79KS,,,,,Yes; analog capable.,,,,,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,5.22,ESE,,08,17349,39.75059891,-105.1230011,448.35,443.35,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),2018-10-02,CCARC,,,,,http://www.DWARC.com,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,5.55,SE,,08,5805,39.71620178,-105.12999725,447.825,442.825,D073,Jefferson,On-Air,,Denver Radio Club,2017-03-11,CCARC,,,,,,,,,,,DM79KR,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,5.68,S,,08,10514,39.67340088,-105.21800232,53.17,52.67,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,2019-03-25,CCARC,,29883,,,,,,,,,,Full-time to the N6LXX System .,,,,,,,,,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,5.68,S,,08,10513,39.67340088,-105.21800232,447.875,442.875,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,2017-03-09,CCARC,,29913,107.2,,,,,,,,,Full-time to the N6LXX System .,,,,,,,,,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,5.88,WNW,,08,265,39.7772,-105.328,449.75,444.75,103.5,Jefferson,On-Air,,Rocky Mtn Radio League,2016-12-23,CCARC,8,,103.5,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,5.88,WNW,,08,134,39.7772,-105.328,224.74,223.14,88.5,Jefferson,On-Air,,Aurora Repeater Assoc,2016-01-17,CCARC,e-power,,88.5,,ARA Repeaters,,,,,,,,,,,,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,5.88,WNW,,08,71,39.77719879,-105.32800293,145.22,144.62,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,2016-12-23,CCARC,8,,103.5,,Repeater,,,,,,,,Talk-Group of $FFFF.,,,Yes; analog capable.,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,5.93,WNW,,08,136,39.7772,-105.329,448.85,443.85,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,2016-01-17,CCARC,e-power.,,88.5,,ARA Repeaters,,,,,,,,,,,,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,5.93,WNW,,08,86,39.7772,-105.329,224,222.4,103.5,Jefferson,On-Air,,Rocky Mountain Radio League,2017-03-11,CCARC,8,,103.5,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,5.93,WNW,,08,133,39.7772,-105.329,147.15,147.75,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),2016-01-17,CCARC,e-power,,100,,ARA Repeaters,,,,,,,"Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",,,,,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,6.28,SE,,08,8204,39.70460129,-105.1230011,448.75,443.75,100,Jefferson,Off-Air,Local.,,2019-08-23,CCARC,E-power.,,100,,,,,,,,DM79KQ,,,,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,6.55,SE,,08,85,39.68220139,-105.14299774,147.33,147.93,100,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,2017-03-31,CCARC,E-power.,,,,DRC Repeaters,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,6.55,SE,,08,267,39.68220139,-105.14299774,224.38,222.78,100,Jefferson,On-Air,,Denver Radio Club,2017-03-11,CCARC,,,100,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,6.55,SE,,08,8215,39.68220139,-105.14299774,449.775,444.775,,Jefferson,On-Air,Metro Denver,Denver Radio Club,2019-09-06,CCARC,Yaesu Digital Only,,,,Denver Radio Club,,,,,,DM79KQ,,"YSF digital only, no analog FM",yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
