Frequency,Offset,Tone     ,Call  ,Location                                         ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,D-STAR Enabled,Node                       ,Sources               ,County      ,Op Status,Sponsor                                                   ,Coordination           ,Last update,Uplink Tone,Features                                                                                             ,Downlink Tone,YSF Digital Enabled,DG-ID          ,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,IRLP,Nets                                                                                                                                                    ,Web links                                             ,Mixed-Mode          ,DMR Enabled,Color Code,DMR ID,Wide Network,Talkgroups                                                                                                                                                                                              ,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network  ,Worldwide English,North America,Colorado,Affiliate                                     ,Commands                                                                                                                                                                                                                                                               ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,EchoLink,Worldwide,English,Rocky Mountain Wide,Northern Colorado Regional,Links                                                                            ,Grid    ,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Local Network  ,Bandwidth,AllStar,Feed       ,WIRES-X,On-air ,P-25 Digital Enabled,NAC,Default Reflector,Southern Colorado,Central Regional,Wyoming,WyLOCAL,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,TAC 311,Colorado Chat,Location Photo
449.325  ,-5    ,136.5    ,WR0AEN,Greeley                                          ,CO   ,OPEN   ,    ,S   ,0    ,N  ,                ,08      ,8210 ,40.4233 ,-104.709 ,449.325  ,444.325  ,yes           ,WR0AEN (B)                 ,"jfindu lookup
/  dstar-users lookup",Weld        ,On-Air   ,Colorado Amateur Repeater Network (CARN)                  ,CCARC                  ,2012-11-12 ,           ,                                                                                                     ,             ,                   ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,    ,                                                                                                                                                        ,                                                      ,                    ,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
449.725  ,-5    ,127.3    ,K0OJ  ,"Greeley, UNC"                                   ,CO   ,OPEN   ,    ,    ,1.4  ,SSE,                ,08      ,159  ,40.4037 ,-104.703 ,449.725  ,444.725  ,              ,                           ,                      ,Weld        ,On-Air   ,K0OJ                                                      ,CCARC                  ,2019-10-04 ,127.3      ,"Autopatch, WX."                                                                                     ,             ,                   ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,    ,                                                                                                                                                        ,                                                      ,                    ,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
146.85   ,-0.6  ,100      ,W0UPS ,"Greeley, UNC"                                   ,CO   ,OPEN   ,    ,    ,1.4  ,SSE,                ,08      ,156  ,40.4036 ,-104.7   ,146.85   ,146.25   ,              ,                           ,                      ,Weld        ,On-Air   ,Northern Colorado ARC                                     ,CCARC                  ,2017-05-08 ,100        ,"E-power, WX."                                                                                       ,100          ,                   ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,    ,                                                                                                                                                        ,                                                      ,                    ,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
147      ,0.6   ,100      ,KC0KWD,LaSalle                                          ,CO   ,OPEN   ,I   ,Y   ,11.2 ,S  ,                ,08      ,157  ,40.2612 ,-104.706 ,147      ,147.6    ,              ,                           ,                      ,Weld        ,On-Air   ,Weld ARS                                                  ,CCARC                  ,2019-05-06 ,           ,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016."                             ,             ,yes                ,Open ↑ / Open ↓,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,3839,Tuesday Night club net                                                                                                                                  ,                                                      ,                    ,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
448.475  ,-5    ,100      ,KC0KWD,Greeley                                          ,CO   ,OPEN   ,I   ,    ,11.2 ,S  ,                ,08      ,158  ,40.2612 ,-104.706 ,448.475  ,443.475  ,              ,                           ,                      ,Weld        ,On-Air   ,Weld Amateur Radio Society (WARS)                         ,CCARC                  ,2019-05-06 ,100        ,                                                                                                     ,             ,                   ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,3839,                                                                                                                                                        ,http://www.warsco.org/                                ,                    ,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
448.025  ,-5    ,100      ,W0UPS ,"Loveland, Budweiser Event Center"               ,CO   ,OPEN   ,    ,Y   ,14.8 ,W  ,                ,08      ,3621 ,40.444  ,-104.989 ,448.025  ,443.025  ,              ,                           ,                      ,Larimer     ,On-Air   ,Northern Colorado ARC                                     ,CCARC                  ,2016-03-21 ,100        ,                                                                                                     ,100          ,yes                ,Open ↑ / Open ↓,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,    ,                                                                                                                                                        ,                                                      ,Yes; analog capable.,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
147.39   ,0.6   ,CC2      ,W0DMR ,"Fort Collins, Timnath"                          ,CO   ,OPEN   ,    ,D   ,14.9 ,NW ,                ,08      ,12562,40.5446 ,-104.944 ,147.39   ,147.99   ,              ,                           ,                      ,Larimer     ,On-Air   ,KT0L - NoCo C-Bridge Network                              ,CCARC                  ,2017-03-11 ,           ,                                                                                                     ,             ,                   ,               ,"Fort Collins east side, into Red Feather Lakes area."                                                                                                                                                                                                                                                                                                                                                                                                                          ,    ,Tac 310 Net: Sun at 18:00.                                                                                                                              ,Documentation                                         ,                    ,yes        ,2         ,310822,            ,"Open Talkgroup View
 
 
 
 Assignment
 TS
 TG
 Access
 
  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}"                                                                        ,1      ,1         ,1          ,1               ,2            ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
447.2    ,-5    ,82.5     ,N6RFI ,"Severance, Cactus Hill"                         ,CO   ,OPEN   ,    ,    ,15   ,NW ,                ,08      ,8188 ,40.581  ,-104.906 ,447.2    ,442.2    ,              ,                           ,                      ,Weld        ,On-Air   ,N6RFI                                                     ,CCARC                  ,2017-03-11 ,82.5       ,                                                                                                     ,             ,                   ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,    ,                                                                                                                                                        ,                                                      ,                    ,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
446.775  ,-5    ,CC2      ,W0DMR ,"Fort Collins, Timnath"                          ,CO   ,OPEN   ,    ,D   ,16.4 ,NW ,                ,08      ,10995,40.5938 ,-104.926 ,446.775  ,441.775  ,              ,                           ,                      ,Larimer     ,On-Air   ,W0DMR - NoCo C-bridge Network                             ,CCARC                  ,2017-01-11 ,           ,                                                                                                     ,             ,                   ,               ,"Fort Collins east side, into Red Feather Lakes area."                                                                                                                                                                                                                                                                                                                                                                                                                          ,    ,                                                                                                                                                        ,W0DMR                                                 ,                    ,yes        ,2         ,      ,            ,"Open Talkgroup View
 
 
 
 Assignment
 TS
 TG
 Access
 
  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",       ,1         ,2          ,                ,2            ,BrandMeister US    ,1                ,1            ,2       ,Brandmeister Network                          ,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide."                                                                                                           ,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
449.575  ,-5    ,100      ,W0LRA ,"Loveland, Namaqua Hill"                         ,CO   ,OPEN   ,    ,    ,19.3 ,W  ,                ,08      ,181  ,40.3978 ,-105.074 ,449.575  ,444.575  ,              ,                           ,                      ,Larimer     ,On-Air   ,Loveland Rptr Assoc                                       ,CCARC                  ,2018-02-24 ,100        ,"Closed autopatch, e-power."                                                                         ,             ,                   ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,    ,                                                                                                                                                        ,                                                      ,                    ,           ,          ,      ,            ,                                                                                                                                                                                                        ,       ,          ,           ,                ,             ,                   ,                 ,             ,        ,                                              ,                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,         ,       ,                   ,                          ,                                                                                 ,        ,           ,           ,           ,           ,             ,               ,         ,       ,           ,       ,       ,                    ,   ,                 ,                 ,                ,       ,       ,                ,            ,   ,              ,            ,                ,       ,             ,
