Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,EchoLink,IRLP,Notes,Nets,Coverage,Downlink Tone,Links,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Web links,Grid,Commands,IPSC Network,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Bandwidth,YSF Digital Enabled,DG-ID,Local Network,D-STAR Enabled,Node,Sources,Central Regional,AllStar,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,Mixed-Mode,WIRES-X,Worldwide,English,Feed,P-25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Wyoming,WyLOCAL,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,,27.98,S,,08,163,40.58440018,-102.30200195,146.955,146.355,,Phillips,Unknown,PCARC,E-power.,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,,29.95,E,ON - In Conference IRLP 0082,31,11025,41.12820053,-101.72000122,146.76,146.16,123,Keith,,Charlie Allen,,,2015-07-09,On-Air,751985,7349,Linked to 146.940 in North Platte and 442.250 south of North Platte,Sun at 19:30. Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,100,WA0JTB,"Sterling, CO",CO,OPEN,,,55.32,WSW,,08,238,40.6256,-103.207,145.295,144.695,,Logan,,NECARA,"Autopatch, e-power.",CCARC,2018-07-10,On-Air,,,,,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,75.87,SW,,08,2,40.16059875,-103.21399689,145.4,144.8,88.5,Washington,,Colorado Connection,,CCARC,2018-11-02,On-Air,,,Part of the Colorado Connection system of repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Northeastern plains of Colorado.,123,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,75.88,SW,,08,16784,40.1605,-103.214,448.175,443.175,,Morgan,,W0FT,,CCARC,2018-02-01,On-Air,,,,,,,,yes,7,310833,,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.835,-0.6,CSQ,K0KDC,North Platte,NE,OPEN,,,78.66,ESE,,31,44,41.1239,-100.765,146.835,146.235,CSQ,Lincoln,,K0KDC,,,2019-05-05,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,,NE0NP,North Platte,NE,OPEN,,,78.66,ESE,,31,43,41.12390137,-100.76499939,146.7,146.1,,Lincoln,,North Platte Progressive Amateur Radio Club,E-power.,,2018-10-14,Off-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,123,N0IQ,North Platte,NE,OPEN,EI,,79.05,ESE,Node Offline,31,11023,41.1403,-100.76,147.33,147.93,123,Lincoln,,Randy Allen,,,2017-06-29,On-Air,857936,7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,123,N0IQ,North Platte,NE,OPEN,EI,,79.05,ESE,Node Offline,31,11022,41.14030075,-100.76000214,444.4,449.4,123,Lincoln,,Randy Allen,,,2014-05-04,On-Air,857936,7627,,,Maxwell to Sutherland across I-80.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,123,N0UGO,North Platte,NE,OPEN,EI,,79.05,ESE,Node Offline,31,11026,41.1403,-100.76,146.94,146.34,123,Lincoln,,Charlie Allen,Linked to 146.760 in Ogallala and 442.250 south of North Platte,WB0CMC,2019-05-05,On-Air,751985,7349,,Sunday Night net: Sun at 20:30 Wednesday Night net: Wed at 21:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
