Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Grid,Op Status,Coverage,Sponsor,Features,Web links,Coordination,Last update,Uplink Tone,Downlink Tone,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Notes,Nets,YSF Digital Enabled,DG-ID,WIRES-X,Local Network,On-air,Affiliate,EchoLink,IRLP,AllStar,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,Talkgroups,Southern Colorado,Devilshead Local,Commands,Rocky Mountain Wide,Central Regional,Bandwidth,TAC 310,TAC 311,Colorado,Colorado Chat,Eastern Colorado,Talkgroup Network,Northern Colorado Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Worldwide English,Wyoming,WyLOCAL,REACT,CO-Park County
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,11.72,WNW,,08,11473,39.39350128,-104.67500305,446.85,441.85,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,Douglas,DM79PJ,On-Air,,Parker Radio Association,D-Star B module,http://parkerradio.org,CCARC,2018-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,14.4,NNW,,08,14732,39.53910065,-104.56900024,927.7375,902.025,,,,Douglas,DM79RM,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,CCARC,2020-01-01,100,100,yes,293,yes,Yes; analog capable.,Full-time to the The 900 P25 Network System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,14.58,WNW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,,,Douglas,,On-Air,,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,http://www.parkerradio.org,CCARC,2019-11-27,,,,,,,,yes,1,310844,None c Record retrieved from radioid.net,,Mixed Mode,Mondays 20:30 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,19.79,NW,,08,18248,39.51860046,-104.76100159,446.9,441.9,,,,Arapahoe,,On-Air,Small coverage area in Parker,Parker Radio Association,Linked to the Colorado Mega digital system,https://www.parkerradio.org,,2019-11-03,,,,,,,,,,,,,,Monday nights 8pm mountain,yes,Open ↑ / Open ↓,40895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,19.79,NW,,08,17696,39.51860046,-104.76100159,448.05,443.05,,,,Douglas,,,,,,,,2019-11-27,,,,,,,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,Brandmeister,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,21.67,SE,,08,12167,39.22669983,-104.08999634,147.105,147.705,,,,Elbert,DM79WF,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties 40 mi radius.",ARES of Douglas and Elbert Counties,Linked to CRA 448.425 - WestCreek,http://www.w0cra.org/,CCARC,2020-02-11,107.2,107.2,,,,,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,22.3,WNW,,08,8189,39.49420166,-104.83599854,447.525,442.525,,,,Douglas,DM79NL,On-Air,"Denver metropolitan area, front range foothills",EmComm Colorado,,,CCARC,2017-03-11,203.5,146.2,,,,,,,,,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,22.34,SSW,ON - IDLE,08,13294,39.04370117,-104.60800171,447.625,442.625,,,,El Paso,,On-Air,,KD0MDP,Linked.,,,2015-06-02,100,100,,,,,Full-time to the The Fun Machine System .,,,,,,,,,,,,,The Fun Machine,363976,7301,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,22.85,NW,,08,274,39.55799866,-104.79399872,448.7,443.7,,,,Douglas,,On-Air,Local North Parker only,,,,,2018-09-07,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,23.27,NW,,08,5,39.6072998,-104.74099731,145.4,144.8,,,,Arapahoe,,On-Air,Greater Denver area.,Castle Rock Repeater Group,"Autopatch, e-power.",,CCARC,2019-03-09,100,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
