Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Affiliate,Features,Mixed-Mode,Notes,Last update,Sponsor,Links,EchoLink,IRLP,Nets,Web links,Coordination,Bandwidth,AllStar,Feed,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,On-air,Commands,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado Chat,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Devilshead Local,Local Network,Northern Colorado Regional,Talkgroup Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,N. Colorado,Mountain Reg USA,Worldwide English
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,Y,1.29,NE,,08,167,37.99950027,-103.52899933,147.36,147.96,,123,yes,Open ↑ / Open ↓,11360,Otero,DM87FX,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,KC0ITF,E-power,Yes; analog capable.,Digital Wires-X,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,N0LAR,Lamar,CO,OPEN,EI,,50.78,ESE,ON - IDLE,08,171,38.08720016,-102.62000275,449.5,444.5,123,123,,,,Prowers,DM-88,On-Air,45,,Linked full time to 146.610 (N0LAR) repeater,,,2019-12-29,Lamar ARC,"Full-time to 146.61000 (N0LAR) at Lamar, CO .",37784,3774,NWS net: Daily 12:15pm,http://www.qrz.com/db/n0lar,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0LAR,Lamar,CO,OPEN,EI,,51.52,ESE,ON - IDLE,08,3794,38.03689957,-102.59999847,146.61,146.01,123,123,,,,Prowers,DM-88,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,,,,,2019-12-29,Lamar Amateur Radio Club,"Full-time to 449.50000 (N0LAR) at Lamar, CO .",37784,3774,NWS Net 12:15pm daily,http://www.qrz.com/db/n0lar,CCARC,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,,51.56,W,ON - IDLE,08,5369,38.0340004,-104.48899841,449.975,444.975,100,100,,,,Pueblo,DM78SA18,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass Repeater Coverage Map,,2,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,2017-03-11,K0JSC,"Linkable to 146.79000 (W0PHC) at Pueblo, Baculite Mesa, CO . Linkable to 146.88000 (W0PHC) at Pueblo, 12 Mile Hill, CO . Linkable to 145.49000 (WD0EKR) at Canon City, Fremont Peak, CO . Linkable to 145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.46000 (WB0WDF) at Cripple Creek, CO . Full-time to the The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",363976,7301,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,K0JSC dot Com,CCARC,,28368,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,W0PHC,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,,51.87,WSW,,08,247,37.77190018,-104.45600128,146.73,146.13,88.5,,,,,Huerfano,DM77SS,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,6,,,2019-12-10,Pueblo Amateur Radio Club,,,,,Pueblo Ham Club,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,CC 162.2,W0CTS,Lamar,CO,OPEN,,D,55.94,ESE,Static Talkgroups: 3108 - Colorado - Slot 1 3740 - REACT - Slot 1,08,18386,38.12810135,-102.53199768,449.2,444.2,162.2,162.2,,,,Prowers,,On-Air,,,TS1 TG3108 Colorado TS1 TG31083 Co Severe Wx TS2 not networked/local,,,2019-12-21,,,,,,https://brandmeister.network/?page=repeater&amp;id=311409,,,,,yes,1,311409,BrandMeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett, Tator Butte",CO,OPEN,,,56.65,SE,,08,3792,37.36999893,-102.85900116,146.64,146.04,100,100,,,,Las Animas,,Off-Air,Wide area: West BACA and East Las Animas counties.,,,,,2015-12-12,,,,,,KZ0DEM Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,K0JSC,Pueblo,CO,OPEN,,D,60.44,WNW,,08,10785,38.23070145,-104.61100006,446.9875,441.9875,,,,,,Pueblo,DM78QF,Off-Air,,RMHAM,,,,2019-11-27,,Full-time to the Colorado TRBO System .,,,,Rocky Mountain Ham Radio,CCARC,,,,yes,6,310821,RMHR c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,,60.44,WNW,,08,9527,38.23049927,-104.61100006,447.275,442.275,100,100,,,,Pueblo,DM78QF,On-Air,,The Fun Machine,,,"Moved to Pueblo. Now called ""Pueblo Metro""",2017-01-06,,Full-time to the The Fun Machine System .,,,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00.,The Fun Machine,CCARC,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,60.44,WNW,,08,3747,38.23059845,-104.61100006,147.24,147.84,103.5,,,,,Pueblo,DM78QF,Off-Air,Pueblo and Fremont Counties,,,,,2012-06-13,TARA,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,60.5,N,,08,7395,38.85200119,-103.69999695,449.9,444.9,107.2,,,,,Lincoln,DM88DU,On-Air,,BSAR,,,,2012-07-20,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,,60.81,WNW,,08,192,38.25439835,-104.60900116,146.655,146.055,123,,,,,Pueblo,,On-Air,,,,,,2013-05-07,K0ST,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,D,60.81,WNW,,08,8530,38.25439835,-104.60900116,447.7,442.7,210.7,210.7,,,,Pueblo,,Off-Air,,,,Yes; analog capable.,,2019-11-27,,,,7389,,,CCARC,,29228,,yes,1,310805,KFKR- c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,,60.81,WNW,,08,189,38.25439835,-104.60900116,449.725,444.725,100,,,,,El Paso,,On-Air,,,,,,2012-11-10,N0PWZ,,,3043,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,W0PHC,"Pueblo, Baculite Mesa",CO,OPEN,,,61.04,WNW,,08,193,38.36240005,-104.55999756,146.79,146.19,88.5,,,,,Pueblo,DM78ri,On-Air,Wide area.,,E-power.,,,2019-12-10,Pueblo Amateur Radio Club,,,,,Pueblo Amateur Radio Club,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,CC 88.5,W0PHC,Pueblo,CO,OPEN,,D,61.04,WNW,,08,198,38.36240005,-104.55999756,447.95,442.95,88.5,,,,,Pueblo,DM78ri,On-Air,Wide area.,,E-power.,Yes; analog capable.,Dual Mode Analog/DMR,2019-12-10,Pueblo Amateur Radio Club,,,,,Pueblo Amateur Radio Club,CCARC,,,,yes,0,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,61.71,WNW,,08,195,38.39250183,-104.55500031,224.26,222.66,88.5,,,,,Pueblo,,Off-Air,Wide area.,,E-power.,,,2013-05-07,Pueblo Ham Club,,,,,PHC repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,,62.56,WNW,,08,8173,38.30690002,-104.62000275,147,147.6,,,,,,Pueblo,DM78QH,On-Air,,,,,,2014-02-26,Carl Higbee,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,W0PHC,Pueblo,CO,OPEN,,,63.52,WNW,,08,191,38.2521019,-104.66200256,145.115,144.515,88.5,,,,,Pueblo,DM78qg,On-Air,,,E-power.,Yes; analog capable.,,2019-12-10,Pueblo Amateur Radio Club,,,,,http://www.puebloradio.org/,CCARC,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
