Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Web links,Coordination,Last update,Downlink Tone,Grid,Sponsor,Affiliate,Links,AllStar,Coverage,Notes,IRLP,Nets,On-air,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,Commands,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Central Regional,Northern Colorado Regional,Location Photo,Feed,Bandwidth,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,Mixed-Mode,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local Network,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local/Cluster,N. Colorado,Worldwide English,Mountain Reg USA
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,0,N,,08,16607,38.03,-107.315,147.135,146.535,123,Hinsdale,On-Air,E-power (solar),http://www.sjcham.com,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,19.4,W,,08,16604,38.0228,-107.671,147.27,147.87,127.3,Ouray,On-Air,,http://www.sjcham.com,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,21.6,SE,,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,On-Air,,,,2017-01-06,100,DM67lt,N0PKT,The Fun Machine,Full-time to the  The Fun Machine System .,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,23.7,SW,,08,209,37.7933,-107.629,147.375,147.975,156.7,San Juan,On-Air,13,http://www.sjcham.com,CCARC,2018-01-15,,,,,"Part-time to  
146.67000 (K0EP) at Durango, Eagle Pass, CO .",,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,24.3,SW,,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,On-Air,Solar powered,http://www.sjcham.com,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,24.3,SW,,08,16624,37.8119,-107.665,444,449,67,San Juan,On-Air,,http://www.sjcham.com,,2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,24.3,SW,,08,210,37.8119,-107.664,447.525,442.525,127.3,San Juan,On-Air,E-power.,,CCARC,2014-06-30,,,KB5ITS,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,24.6,SE,,08,63,37.8492,-106.926,146.925,146.325,,Mineral,Off-Air,,,CCARC,2012-11-12,,,Creede ARC,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,31.5,NW,,08,15213,38.3875,-107.674,448.65,443.65,,Montrose,On-Air,,,,2016-10-11,151.4,,KB0YNA,,"Full-time to  
447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,31.5,NW,,08,69,38.3875,-107.674,447.2,442.2,107.2,Montrose,On-Air,9,GMRA Repeaters,CCARC,2018-01-15,107.2,,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,,Delta/Montrose,Closed IRLP out - Ask for a control op,3710,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
