Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Coverage,Sponsor,Features,Links,EchoLink,IRLP,Nets,Web links,Coordination,Last update,Bandwidth,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,Notes,Talkgroups,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,AllStar,Rocky Mountain Wide,Feed,Southern Colorado,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado Chat,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Location Photo,Local Network,Devilshead Local,c-Bridge,Talkgroup Network,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Northern Colorado Regional,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Amarillo WIRES-X
449.5,-5,123,N0LAR,Lamar,CO,OPEN,EI,,0.05,ESE,ON - IDLE,08,171,38.08720016,-102.62000275,449.5,444.5,123,123,Prowers,DM-88,On-Air,45,Lamar ARC,Linked full time to 146.610 (N0LAR) repeater,"Full-time to 146.61000 (N0LAR) at Lamar, CO .",37784,3774,NWS net: Daily 12:15pm,http://www.qrz.com/db/n0lar,CCARC,2019-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0LAR,Lamar,CO,OPEN,EI,,3.66,SSE,ON - IDLE,08,3794,38.03689957,-102.59999847,146.61,146.01,123,123,Prowers,DM-88,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,Lamar Amateur Radio Club,,"Full-time to 449.50000 (N0LAR) at Lamar, CO .",37784,3774,NWS Net 12:15pm daily,http://www.qrz.com/db/n0lar,CCARC,2019-12-29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,CC 162.2,W0CTS,Lamar,CO,OPEN,,D,5.6,E,Static Talkgroups: 3108 - Colorado - Slot 1 3740 - REACT - Slot 1,08,18386,38.12810135,-102.53199768,449.2,444.2,162.2,162.2,Prowers,,On-Air,,,TS1 TG3108 Colorado TS1 TG31083 Co Severe Wx TS2 not networked/local,,,,,https://brandmeister.network/?page=repeater&amp;id=311409,,2019-12-21,,yes,1,311409,BrandMeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,,46.91,S,,08,8174,37.40829849,-102.61399841,147.09,147.69,118.8,118.8,Baca,,,,BCDEARC,,,,,,,CCARC,2012-11-12,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,46.91,S,Node Offline,08,6093,37.40829849,-102.61399841,147.33,147.93,118.8,118.8,Baca,,Off-Air,,Baca County Amateur Emergency Management,,,97142,7142,,KZ0DEM Repeaters,CCARC,2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,46.91,S,Node Offline,08,4588,37.40829849,-102.61399841,449.2,444.2,118.8,118.8,Baca,,On-Air,provides coverage to central Baca County,Baca County Div of Emerg Mgt Communications,,,97142,7142,,,,2011-08-21,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,141.3,K0ECT,Syracuse,KS,OPEN,,,47.13,ESE,,20,4086,38.17499924,-101.76100159,444,449,141.3,141.3,Hamilton,DM98CE,On-Air,,SKECT,E-power.,Full-time to the SKECT System .,,,,http://skect.org/default.aspx,Kansas Repeater Council,2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KB0CKE,Syracuse,KS,OPEN,,,47.81,ESE,,20,3947,37.98059845,-101.75299835,146.775,146.175,,,Hamilton,,On-Air,Local. 20 mi radius.,KB0CKE,,,,,,,Kansas Repeater Council,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,103.5,KC0VJD,Firstview,CO,OPEN,W,Y,49.12,N,,08,17703,38.79579926,-102.54799652,447.6,442.6,,,Cheyenne,DM88RT,On-Air,"US-40, US-287, US-385, CO-94, CO-96 Kit Carson, Cheyenne Wells, Firstview, Eads, Aroya, Sheridan Lake",Delbert Noakes (KC0VJD),"APRS Digireater &amp; iGate, Weather Station",,,,,,CCARC,2019-04-24,,,,,,,,,yes,Open ↑ / Open ↓,35710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,Y,49.78,W,,08,167,37.99950027,-103.52899933,147.36,147.96,,123,Otero,DM87FX,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,E-power,,,,,,,2018-09-30,,,,,,,,,yes,Open ↑ / Open ↓,11360,KC0ITF,Yes; analog capable.,Digital Wires-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
