Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,County,On-air,Coverage,Sponsor,Affiliate,Nets,Web links,Last update,Uplink Tone,Op Status,Features,Notes,Coordination,Downlink Tone,YSF Digital Enabled,DG-ID,Mixed-Mode,IRLP,EchoLink,AllStar,Commands,P-25 Digital Enabled,NAC,Default Reflector,Links,WIRES-X,Local Network,Grid,Feed,Talkgroups,Southern Colorado,Devilshead Local,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 310,TAC 311,Colorado,Colorado Chat,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Location Photo,Wyoming,WyLOCAL,Europe,Southwest USA
147.315,0.6,CC1,N0KEG,Centennial,CO,OPEN,,DS,7.8,SE,,08,17676,39.5807,-104.877,147.315,147.915,yes,N0KEG (C) Repeater,"jfindu lookup 
/  dstar-users lookup",yes,1,,Arapahoe,Unknown,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",N0KEG,Parker Radio Association,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,https://www.parkerradio.org,2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,8.2,NW,,08,85,39.6822,-105.143,147.33,147.93,,,,,,,Jefferson,,Metro Denver and the foothills.,Denver Radio Club,,SATERN: Thu at 19:30.,DRC Repeaters,2017-03-31,100,On-Air,E-power.,Not recommeded to use tone squelch on this repeater.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,8.2,NW,,08,267,39.6822,-105.143,224.38,222.78,,,,,,,Jefferson,,,Denver Radio Club,,,DRC Repeaters,2017-03-11,100,On-Air,,,CCARC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,8.2,NW,,08,8215,39.6822,-105.143,449.775,444.775,,,,,,,Jefferson,,Metro Denver,Denver Radio Club,,,Denver Radio Club,2015-06-02,100,On-Air,,,CCARC,100,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,8.5,NW,,08,8204,39.7046,-105.123,448.75,443.75,,,,,,,Jefferson,,Local.,,N0ELY,,,2012-11-16,100,On-Air,E-power.,,CCARC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,8.8,N,,08,8196,39.7376,-104.985,447.925,442.925,,,,,,,Denver,,,RADOPS El Jebel Shriners,,,,2014-07-03,100,On-Air,,,CCARC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,8.8,N,,08,8195,39.7376,-104.985,447.9,442.9,,,,,,,Denver,,,WB0TPT,,,,2017-03-11,CSQ,Off-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,8.8,N,,08,8212,39.7376,-104.985,449.65,444.65,yes,WR0AEN (B),"jfindu lookup 
/  dstar-users lookup",,,,Denver,,,Colorado Amateur Repeater Network (CARN),,,,2012-11-16,,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,8.8,N,,08,8213,39.7376,-104.985,449.675,444.675,yes,WR0AEN (B),"jfindu lookup 
/  dstar-users lookup",,,,Denver,,,Colorado Amateur Repeater Network (CARN),,,,2012-11-16,,On-Air,,,CCARC,,,,,7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,8.9,NNE,,08,75,39.7392,-104.984,145.475,144.875,,,,,,,Jefferson,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,,Intermountain Repeater Group,2015-05-22,100,On-Air,E-power.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,8.9,NNE,,08,79,39.7392,-104.984,146.715,146.115,,,,,,,Denver,,,EARS,,,,2017-04-09,123,On-Air,E-power.,,CCARC,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,8.9,NNE,,08,91,39.7392,-104.984,448.075,443.075,,,,,,,Denver,,,W0IG,,,,2017-03-11,123,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,8.9,NNE,,08,93,39.7392,-104.984,448.55,443.55,,,,,,,Denver,,,HPRA,,,,2017-03-11,82.5,Off-Air,E-power.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,9.3,NW,,08,5805,39.7162,-105.13,447.825,442.825,,,,,,,Jefferson,,,Denver Radio Club,,,,2017-03-11,D073,On-Air,,"Now operating in Narrow Band mode with Digital Code Squelch.
Please reset your programing to use:
12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",CCARC,D073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,,9.6,SW,,08,80,39.5042,-105.128,146.88,146.28,,,,,,,Jefferson,,Wide Area,Denver Radio League,,,DRL Repeaters,2018-05-21,100,On-Air,E-power.,6,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,,9.6,SW,Node Offline,08,273,39.5042,-105.128,449.6,444.6,,,,,,,Jefferson,,,Denver Radio League,,,DRL Repeaters,2014-03-04,100,On-Air,,,CCARC,,,,,3345,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,9.9,N,ON        - IDLE,08,12216,39.7552,-104.987,447.175,442.175,,,,,,,Denver,,,W0JRL,,,,2015-05-15,100,On-Air,,,CCARC,100,,,,,201712,29997,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,10.3,W,,08,17457,39.6,-105.21,927.9375,902.025,,,,,,,Jefferson,,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",,,,,2018-12-23,,On-Air,linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,,CCARC,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,10.5,NW,,08,105,39.7008,-105.178,53.09,51.39,,,,,,,Jefferson,,Metro Denver area.,Denver Radio Club,,,DRC Repeaters,2017-03-11,107.2,On-Air,E-power.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,11,NNW,,08,9775,39.7505,-105.123,147.21,147.81,,,,,,,Jefferson,,,Denver Water Amateur Radio Club,,,http://www.dwarc.com,2018-10-07,100,On-Air,,,,100,,,Yes; analog capable.,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,11,NNW,,08,17349,39.7506,-105.123,448.35,443.35,,,,,,,Jefferson,,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,,http://www.DWARC.com,2018-10-02,,On-Air,,,CCARC,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,11.5,WNW,,08,10514,39.6734,-105.218,53.17,52.67,,,,,,,Jefferson,,"I-70,I-76,I-25,I-225",N6LXX,N6LXX,,,2019-03-25,107.2,On-Air,,,CCARC,CSQ,,,,,,29883,,,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,11.5,WNW,,08,10513,39.6734,-105.218,447.875,442.875,,,,,,,Jefferson,,"I-70,I-76,I-25,I-225",N6LXX,N6LXX,,,2017-03-09,107.2,On-Air,,,CCARC,107.2,,,,,,29913,,,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,,11.7,SSE,,08,8743,39.4718,-104.895,449.95,444.95,,,,,,,Douglas,,Primarily to the North along I-25 corridor,W9SL Owner,,,,2017-01-22,77,On-Air,,,CCARC,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,12.4,E,,08,8207,39.6967,-104.81,449.15,444.15,yes,WR0AEN (B),"jfindu lookup 
/  dstar-users lookup",,,,Arapahoe,,,Colorado Amateur Repeater Network (CARN),,,,2012-11-12,,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,12.5,SE,,08,274,39.558,-104.794,448.7,443.7,,,,,,,Douglas,,Local North Parker only,,,,,2018-09-07,146.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,12.7,NE,,08,92,39.7294,-104.831,448.5,443.5,,,,,,,Denver,,Greater Denver area.,Castle Rock Repeater Group,,,,2017-03-11,100,On-Air,E-power.,,CCARC,,,,,,,,,,,,"Full-time to  
145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,12.7,SE,,08,8189,39.4942,-104.836,447.525,442.525,,,,,,,Douglas,,"Denver metropolitan area, front range foothills",EmComm Colorado,Colorado ARES,,,2017-03-11,203.5,On-Air,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",CCARC,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,12.7,NE,,08,8202,39.7294,-104.832,448.4,443.4,,,,,,,Arapahoe,,,,,,,2012-11-12,94.8,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,12.7,NE,,08,8199,39.7294,-104.832,448.275,443.275,,,,,,,Arapahoe,,,W0BG,,,,2013-01-05,156.7,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,12.7,NE,,08,16032,39.7294,-104.832,448.825,443.825,,,,,,,Arapahoe,,,,,,,2017-12-13,,On-Air,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
