Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Features,Coordination,Last update,Sponsor,Coverage,Links,Affiliate,IRLP,Notes,Nets,Web links,On-air,Commands,EchoLink,DMR Enabled,Color Code,Wide Network,D-STAR Enabled,Node,Sources,AllStar,Grid,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Bandwidth,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Devilshead Local,YSF Digital Enabled,DG-ID,Mixed-Mode,TAC 311,Colorado,Colorado Chat,Local Network,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Worldwide English,Local/Cluster,N. Colorado,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Wyoming,WyLOCAL
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,0,N,,08,12442,38.4783,-107.876,146.91,146.31,107.2,107.2,Montrose,On-Air,E-Power,CCARC,2014-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,0,N,,08,7953,38.4783,-107.876,146.79,146.19,107.2,107.2,Montrose,On-Air,E-power.,CCARC,2012-09-06,KC0UXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,12.6,SE,,08,15213,38.3875,-107.674,448.65,443.65,,151.4,Montrose,On-Air,,,2016-10-11,KB0YNA,Wide area.,"Full-time to  
447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,12.6,SE,,08,69,38.3875,-107.674,447.2,442.2,107.2,107.2,Montrose,On-Air,9,CCARC,2018-01-15,,Delta/Montrose,Full-time to the  GMRA Open System .,Grand Mesa Repeater Assoc,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,29.4,N,,08,3745,38.9016,-107.926,147.195,147.795,107.2,,Delta,,,,2018-04-04,,Local.,,Colorado District 25 ARES,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,29.4,N,,08,3749,38.9016,-107.926,147.36,147.96,100,,Delta,,,CCARC,2012-11-10,W0ALC,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,29.4,N,,08,3760,38.9016,-107.926,449.825,444.825,100,,Delta,,,CCARC,2018-04-04,W0ALC,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,31,NNE,,08,8179,38.8683,-107.592,147.33,147.93,107.2,,Delta,On-Air,,CCARC,2016-05-16,North Fork Repeater Assoc.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,33.4,SSE,,08,16604,38.0228,-107.671,147.27,147.87,127.3,,Ouray,On-Air,,CCARC,2018-01-15,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,34.1,S,,08,254,37.991,-107.972,449.7,444.7,107.2,107.2,San Miguel,On-Air,E-power.,CCARC,2017-12-07,Grand Mesa Repeater Association ( GMRA ),Wide Area via links - Western Colorado - Eastern Utah,Full-time to the  GMRA Open System .,,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
