Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Grid,Coverage,Sponsor,Features,Links,Downlink Tone,IRLP,Notes,Nets,Affiliate,AllStar,On-air,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,Commands,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Central Regional,Northern Colorado Regional,Location Photo,Feed,Bandwidth,Mixed-Mode,Eastern Colorado,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,0,E,,08,16604,38.02280045,-107.67099762,147.27,147.87,127.3,Ouray,On-Air,http://www.sjcham.com,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,12.64,NNW,Static Talkgroups: 91 - Worldwide English - Slot 1,08,17998,38.18000031,-107.79000092,447.8,442.8,,Ouray,On-Air,,,2019-11-27,yes,1,311075,BrandMeister c Record retrieved from radioid.net,,DM68CE,Montrose to Ouray,AD0RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,14.58,S,,08,16605,37.81190109,-107.66500092,145.325,144.725,127.3,San Juan,On-Air,http://www.sjcham.com,CCARC,2018-01-15,,,,,,,,,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,14.58,S,,08,16624,37.81190109,-107.66500092,444,449,67,San Juan,On-Air,http://www.sjcham.com,,2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,14.58,S,,08,210,37.81190109,-107.66400146,447.525,442.525,127.3,San Juan,On-Air,,CCARC,2014-06-30,,,,,,,Wide area.,KB5ITS,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,16.02,S,,08,209,37.79330063,-107.6289978,147.375,147.975,156.7,San Juan,On-Air,http://www.sjcham.com,CCARC,2018-01-15,,,,,,DM67ET,Wide area.,,13,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,16.53,W,,08,254,37.99100113,-107.97200012,449.7,444.7,107.2,San Miguel,On-Air,,CCARC,2017-12-07,,,,,,DM67AX,Wide Area via links - Western Colorado - Eastern Utah,Grand Mesa Repeater Association ( GMRA ),E-power.,Full-time to the GMRA Open System .,107.2,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,19.38,ESE,,08,16607,38.02999878,-107.31500244,147.135,146.535,123,Hinsdale,On-Air,http://www.sjcham.com,CCARC,2018-01-15,,,,,,,,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,23.54,SSW,,08,208,37.69919968,-107.80599976,147.27,147.87,127.3,San Juan,On-Air,,CCARC,2017-04-14,,,,,,,Wide area.,KB5ITT,E-power.,,,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,25.2,N,,08,15213,38.38750076,-107.6740036,448.65,443.65,,Montrose,On-Air,,,2016-10-11,,,,,,,Wide area.,KB0YNA,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
