Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,AllStar,Last update,Grid,Features,Links,EchoLink,IRLP,Notes,Nets,Web links,Coordination,Affiliate,Sponsor,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Location Photo,Feed,On-air,Central Regional,Commands,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Bandwidth,YSF Digital Enabled,DG-ID,Talkgroup Network,Northern Colorado Regional,TAC 310,TAC 311,Colorado,Colorado Chat,Mixed-Mode,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local Network,WIRES-X,Worldwide,North America,English,Europe,DCI Bridge,Southwest USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local/Cluster,N. Colorado,Worldwide English,Mountain Reg USA
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,,23.2,S,,08,14200,37.7531,-106.109,146.64,146.04,77,77,Rio Grande,On-Air,Low level local coverage,28781,2016-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,,23.4,S,,08,16645,37.75,-106.115,447.1,442.1,77,,Saguache,On-Air,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,25.8,NNE,ON        - IDLE,08,13510,38.4463,-106.011,449.975,444.975,100,100,Chaffee,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,28368,2017-03-11,DM68xk,2,Full-time to the  The Fun Machine System .,363976,7301,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",K0JSC.COM,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,26.1,NNE,,08,205,38.4528,-106.018,449.65,444.65,107.2,,Chaffee,On-Air,Wide area.,,2018-01-15,,E-power.,,,,,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,26.1,NNE,,08,3811,38.4528,-106.018,449.925,444.925,103.5,103.5,Chaffee,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",,2013-07-05,,E-power (Bat),,,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,CCARC,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,26.7,NNE,,08,204,38.4596,-106.011,147.285,147.885,88.5,123,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,2016-05-23,,11,Full-time to the  Colorado Connection System .,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,CCARC,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,26.7,NNE,,08,203,38.4596,-106.011,145.295,144.695,107.2,,Chaffee,On-Air,Wide area.,,2015-01-30,DM78ik,,,,,,,CMRG Repeaters,CCARC,,Cheyenne Mtn Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,,31,NNW,,08,16739,38.5063,-106.345,145.325,144.725,100,,Chaffee,On-Air,wide area,,2018-01-14,,,,,,,,,,,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,31.9,NNE,,08,9844,38.5347,-105.999,446.975,441.975,,,Chaffee,On-Air,,,2013-07-06,,,,,,,,KD0QPG,CCARC,Crestone Amateur Radio Emergency Services,Crestone Amateur Radio Emergency Services,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,31.9,NNE,,08,12697,38.5347,-105.999,446.8125,441.8125,,,Chaffee,On-Air,,,2015-01-13,,,,,,,,,,,RMHAM,,,,yes,0,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Rocky Mountain Wide  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
