Frequency,Offset,Tone     ,Call  ,Location                                                   ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,D-STAR Enabled,Node                       ,Sources               ,County     ,Op Status,Sponsor                                             ,Affiliate                                     ,Web links                                             ,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups                                                                                                                                                                                                         ,Rocky Mountain Wide,Southern Colorado,Downlink Tone,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Features                                                                                             ,Links                                                                            ,Nets                                                                                                                                                    ,Grid    ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,EchoLink,IRLP,AllStar,Central Regional,Location Photo,Feed       ,Commands                                                                                                                                                                                                                                                               ,On-air ,DMR ID,Talkgroup Network  ,Northern Colorado Regional,Bandwidth,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID          ,TAC 310,TAC 311,Colorado,Colorado Chat,Devilshead Local,Mixed-Mode          ,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local Network  ,WIRES-X,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Europe,Southwest USA,Wyoming,WyLOCAL
446.975  ,-5    ,         ,KD0QPG,"Salida, Methodist Mountain"                               ,CO   ,OPEN   ,    ,S   ,0    ,N  ,                ,08      ,9844 ,38.5347 ,-105.999 ,446.975  ,441.975  ,yes           ,KD0QPG (B) Gateway Repeater,"jfindu lookup
/  dstar-users lookup",Chaffee    ,On-Air   ,Crestone Amateur Radio Emergency Services           ,Crestone Amateur Radio Emergency Services     ,KD0QPG                                                ,CCARC       ,2013-07-06 ,           ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                     ,                                                                                 ,                                                                                                                                                        ,        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
446.8125 ,-5    ,CC0      ,N0SZ  ,"Salida, Methodist Mountain"                               ,CO   ,OPEN   ,    ,D   ,0    ,N  ,                ,08      ,12697,38.5347 ,-105.999 ,446.8125 ,441.8125 ,              ,                           ,                      ,Chaffee    ,On-Air   ,RMHAM                                               ,                                              ,                                                      ,            ,2015-01-13 ,           ,yes        ,0         ,            ,"Open Talkgroup View
 
 
 
 Assignment
 TS
 TG
 Access
 
  Rocky Mountain Wide  1  700      Southern Colorado  2  719
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}"                                                                                                                                                   ,1                  ,2                ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                     ,                                                                                 ,                                                                                                                                                        ,        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
147.285  ,0.6   ,88.5     ,KB0VJJ,"Salida, Methodist Mountain"                               ,CO   ,OPEN   ,    ,    ,5.2  ,S  ,                ,08      ,204  ,38.4596 ,-106.011 ,147.285  ,147.885  ,              ,                           ,                      ,Chaffee    ,On-Air   ,Colorado Connection                                 ,                                              ,                                                      ,CCARC       ,2016-05-23 ,88.5       ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,123          ,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25."                                                                                                                                                                                                ,11                                                                                                   ,Full-time to the  Colorado Connection System .                                   ,"Central Colorado Traffic Net: Daily at 19:30.
Colorado Connection Net (All Welcome): Thu at 20:00.
Statewide ARES Net: Sun at 20:00."                                                                                                   ,        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
145.295  ,-0.6  ,107.2    ,KC0CVU,"Salida, Methodist Mountain"                               ,CO   ,OPEN   ,    ,    ,5.2  ,S  ,                ,08      ,203  ,38.4596 ,-106.011 ,145.295  ,144.695  ,              ,                           ,                      ,Chaffee    ,On-Air   ,Cheyenne Mtn Repeater Group                         ,                                              ,CMRG Repeaters                                        ,CCARC       ,2019-08-15 ,107.2      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,             ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                     ,                                                                                 ,                                                                                                                                                        ,DM78ik  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
449.65   ,-5    ,107.2    ,KC0CVU,"Salida, Methodist Mountain"                               ,CO   ,OPEN   ,    ,    ,5.8  ,S  ,                ,08      ,205  ,38.4528 ,-106.018 ,449.65   ,444.65   ,              ,                           ,                      ,Chaffee    ,On-Air   ,                                                    ,                                              ,CMRG Repeaters                                        ,CCARC       ,2018-01-15 ,107.2      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,             ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,E-power.                                                                                             ,                                                                                 ,                                                                                                                                                        ,        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
449.925  ,-5    ,103.5    ,WZ0N  ,"Salida, Methodist Mountain"                               ,CO   ,OPEN   ,    ,    ,5.8  ,S  ,                ,08      ,3811 ,38.4528 ,-106.018 ,449.925  ,444.925  ,              ,                           ,                      ,Chaffee    ,On-Air   ,                                                    ,Colorado ARES                                 ,                                                      ,CCARC       ,2013-07-05 ,103.5      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,103.5        ,"Upper Arkansas and Platte Rivers, and the SLV"                                                                                                                                                                                                                                                                                                                                                                                                                                 ,E-power (Bat)                                                                                        ,                                                                                 ,                                                                                                                                                        ,        ,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
449.975  ,-5    ,100      ,K0JSC ,"Salida, Methodist Mountain"                               ,CO   ,OPEN   ,EIA ,    ,6.1  ,S  ,ON        - IDLE,08      ,13510,38.4463 ,-106.011 ,449.975  ,444.975  ,              ,                           ,                      ,Chaffee    ,On-Air   ,                                                    ,                                              ,K0JSC.COM                                             ,CCARC       ,2017-03-11 ,100        ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,100          ,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass                                                                                                                                                                                                                                                                                                                                                                                                         ,2                                                                                                    ,Full-time to the  The Fun Machine System .                                       ,"APRS Net: Sun at 19:00.
Region 5 District 2 ARES Net: Sun at 19:30.
Statewide ARES Net: Sun at 20:00.
Region 5 District 1 ARES Net: Mon at 19:00.
RGARC Net: Wed at 19:00."                                                                                                            ,DM68xk  ,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,363976  ,7301,28368  ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
146.745  ,-0.6  ,100      ,W0LSD ,Nathrop                                                    ,CO   ,OPEN   ,    ,    ,16.4 ,NW ,                ,08      ,184  ,38.7129 ,-106.2   ,146.745  ,146.145  ,              ,                           ,                      ,Chaffee    ,On-Air   ,CLARA                                               ,                                              ,                                                      ,CCARC       ,2019-07-21 ,100        ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,E-power.                                                                                             ,                                                                                 ,                                                                                                                                                        ,        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
145.325  ,-0.6  ,100      ,KD0MRC,Maysville                                                  ,CO   ,OPEN   ,    ,    ,18.8 ,W  ,                ,08      ,16739,38.5063 ,-106.345 ,145.325  ,144.725  ,              ,                           ,                      ,Chaffee    ,On-Air   ,Chaffee Lake Amateur Repeater Association           ,                                              ,                                                      ,            ,2019-09-04 ,100        ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,             ,wide area                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                     ,                                                                                 ,                                                                                                                                                        ,        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
448.575  ,-5    ,103.5    ,WZ0N  ,Hartsel                                                    ,CO   ,OPEN   ,    ,    ,24.3 ,N  ,                ,08      ,9840 ,38.8833 ,-105.933 ,448.575  ,443.575  ,              ,                           ,                      ,Park       ,Off-Air  ,                                                    ,                                              ,                                                      ,CCARC       ,2017-11-22 ,103.5      ,           ,          ,            ,                                                                                                                                                                                                                   ,                   ,                 ,103.5        ,Western Park County                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                     ,"Full-time internet linked to
146.89500 (AB0PC) at Bailey, Dick Mountain, CO ."                                ,                                                                                                                                                        ,        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,        ,    ,       ,                ,              ,           ,                                                                                                                                                                                                                                                                       ,       ,      ,                   ,                          ,         ,                ,                    ,   ,                 ,                   ,               ,       ,       ,        ,             ,                ,                    ,            ,   ,              ,            ,               ,       ,           ,           ,           ,           ,             ,         ,             ,       ,             ,           ,                 ,          ,                ,      ,             ,       ,
