Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,EchoLink,IRLP,Web links,Coverage,Commands,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,Notes,Bandwidth,Grid,Links,Nets,Features,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,AllStar,D-STAR Enabled,Node,Sources,Feed,Local Network,c-Bridge,Talkgroup Network,Worldwide,North America,English,TAC 310,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Rocky Mountain Wide,Southern Colorado,Amarillo WIRES-X,TAC 311,Colorado Chat,NORCAL 1,NORCAL 5150,Local or Reflector,UserActivated 1,UserActivated 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Location Photo,Devilshead Local
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,,0,SE,,08,8174,37.40829849,-102.61399841,147.09,147.69,118.8,118.8,Baca,Unknown,BCDEARC,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,0,SE,Node Offline,08,6093,37.40829849,-102.61399841,147.33,147.93,118.8,118.8,Baca,,Baca County Amateur Emergency Management,CCARC,2018-03-12,Off-Air,97142,7142,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,0,SE,Node Offline,08,4588,37.40829849,-102.61399841,449.2,444.2,118.8,118.8,Baca,,Baca County Div of Emerg Mgt Communications,,2011-08-21,On-Air,97142,7142,,provides coverage to central Baca County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,KZ0DEM,Vilas,CO,OPEN,,D,9.46,SE,,08,17522,37.37469864,-102.4469986,446.7625,441.7625,,,Baca,Unknown,Southeast Colorado REACT,,2019-11-27,,,,http://www.secahr.com/southeast-colorado-react.html,Baca County,,yes,7,310841,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Local/Cluster 2 2 Full-Time Central Regional 2 720 Full-Time Colorado 2 3108 Full-Time REACT 2 3740 Full-Time CO-Park County 2 31081 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",2,2,2,2,2,TS1​ 310815 - Fun Machine Link - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett, Tator Butte",CO,OPEN,,,13.71,W,,08,3792,37.36999893,-102.85900116,146.64,146.04,100,100,Las Animas,,,CCARC,2015-12-12,Off-Air,,,KZ0DEM Repeaters,Wide area: West BACA and East Las Animas counties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,WB5NJU,Kenton,NM,OPEN,,,41.08,SSW,,35,18214,36.90100098,-103.00299835,147.39,147.99,88.5,,Union,,,,2019-10-30,On-Air,,,,,,,,,,,,,,,,,Repeater on the New Mexico - Oklahoma border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0LAR,Lamar,CO,OPEN,EI,,43.44,N,ON - IDLE,08,3794,38.03689957,-102.59999847,146.61,146.01,123,123,Prowers,,Lamar Amateur Radio Club,CCARC,2019-12-29,On-Air,37784,3774,http://www.qrz.com/db/n0lar,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,,,,,,,,,,,,,,25,DM-88,"Full-time to 449.50000 (N0LAR) at Lamar, CO .",NWS Net 12:15pm daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,N0LAR,Lamar,CO,OPEN,EI,,46.91,N,ON - IDLE,08,171,38.08720016,-102.62000275,449.5,444.5,123,123,Prowers,,Lamar ARC,CCARC,2019-12-29,On-Air,37784,3774,http://www.qrz.com/db/n0lar,45,,,,,,,,,,,,,,,DM-88,"Full-time to 146.61000 (N0LAR) at Lamar, CO .",NWS net: Daily 12:15pm,Linked full time to 146.610 (N0LAR) repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.35,0.6,88.5,,Boise City,OK,OPEN,,,47.24,S,,40,3790,36.72940063,-102.51300049,147.35,147.95,88.5,88.5,Cimarron,,CAPROCK / DUST BOWL INTERTIE,,2016-05-03,On-Air,,,,"Provides linked coverage to SW KS, OK Panhandle, and the TEXAS panhandle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,CC 162.2,W0CTS,Lamar,CO,OPEN,,D,49.94,N,Static Talkgroups: 3108 - Colorado - Slot 1 3740 - REACT - Slot 1,08,18386,38.12810135,-102.53199768,449.2,444.2,162.2,162.2,Prowers,,,,2019-12-21,On-Air,,,https://brandmeister.network/?page=repeater&amp;id=311409,,,yes,1,311409,BrandMeister c Record retrieved from radioid.net,,,,,,,,,,,,,TS1 TG3108 Colorado TS1 TG31083 Co Severe Wx TS2 not networked/local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KB0CKE,Syracuse,KS,OPEN,,,61.48,NE,,20,3947,37.98059845,-101.75299835,146.775,146.175,,,Hamilton,,KB0CKE,Kansas Repeater Council,2019-03-31,On-Air,,,,Local. 20 mi radius.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,Y,64.58,NW,,08,167,37.99950027,-103.52899933,147.36,147.96,,123,Otero,,,,2018-09-30,On-Air,,,,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,,,,,,,,,,,,Digital Wires-X,,DM87FX,,,E-power,yes,Open ↑ / Open ↓,11360,KC0ITF,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.525,5,141.3,K0ECT,"Ulysses, Wagon Bed Springs",KS,OPEN,,,70.31,ESE,,20,4110,37.40299988,-101.33300018,444.525,449.525,141.3,141.3,Grant,,SKECT,Kansas Repeater Council,2019-05-07,On-Air,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,DM97IJ,Full-time to the SKECT System .,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,141.3,K0ECT,Syracuse,KS,OPEN,,,70.54,NE,,20,4086,38.17499924,-101.76100159,444,449,141.3,141.3,Hamilton,,SKECT,Kansas Repeater Council,2018-07-12,On-Air,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,DM98CE,Full-time to the SKECT System .,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,W0QS,Hugoton,KS,OPEN,,,71.35,SE,,20,18554,37.1753006,-101.34960175,146.61,146.01,123,123,Graham,,,,2020-03-01,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
