Frequency,Offset,Tone     ,Call  ,Location                                         ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                          ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,Uplink Tone,County      ,On-air ,Sponsor                                                   ,Features                                                                                             ,Coordination           ,Last update,Downlink Tone,Op Status,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Links                                                                                                                                                  ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Nets                                                                                                                                                    ,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate                                       ,Web links                                               ,EchoLink,IRLP,Talkgroups                                                                                                                                                                                              ,Rocky Mountain Wide,Northern Colorado Regional,Central Regional,AllStar,YSF Digital Enabled,DG-ID          ,WIRES-X,Commands                                                                                                                                                                                                                                                               ,Feed       ,Grid    ,Mixed-Mode          ,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node                       ,Sources               ,Local Network  ,Bandwidth,Talkgroup Network  ,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Worldwide,English,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Local or Reflector,Kansas,CKRG,KansasLink,Wyoming,WyLOCAL,Location Photo,BYRG
146.955  ,-0.6  ,         ,N0JUN ,Holyoke                                          ,CO   ,OPEN   ,    ,    ,35.4 ,N  ,                          ,08      ,163  ,40.5844 ,-102.302 ,146.955  ,146.355  ,           ,Phillips    ,Unknown,PCARC                                                     ,E-power.                                                                                             ,CCARC                  ,2012-11-10 ,             ,         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
145.4    ,-0.6  ,88.5     ,KB0VJJ,Akron                                            ,CO   ,OPEN   ,    ,    ,52.7 ,W  ,                          ,08      ,2    ,40.1606 ,-103.214 ,145.4    ,144.8    ,88.5       ,Washington  ,       ,Colorado Connection                                       ,                                                                                                     ,CCARC                  ,2018-11-02 ,123          ,On-Air   ,Northeastern plains of Colorado.                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Full-time to the  Colorado Connection System .                                                                                                         ,Part of the Colorado Connection system of repeaters                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"Colorado Traffic Net: Daily at 19:30.
Colorado Connection Net (all welcome): Thu at 20:00.
Statewide ARES: Sun at 20:00."                                                                                                   ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
448.175  ,-5    ,CC7      ,W0FT  ,Akron                                            ,CO   ,OPEN   ,    ,D   ,52.7 ,W  ,                          ,08      ,16784,40.1605 ,-103.214 ,448.175  ,443.175  ,           ,Morgan      ,       ,W0FT                                                      ,                                                                                                     ,CCARC                  ,2018-02-01 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,yes        ,7         ,310833,            ,Rocky Mountain Ham Radio                        ,http://www.rmham.org/                                   ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
146.895  ,-0.6  ,103.5    ,KE0AE ,Stratton                                         ,CO   ,OPEN   ,E   ,    ,57.1 ,SSW,Node Offline              ,08      ,122  ,39.3033 ,-102.605 ,146.895  ,146.295  ,103.5      ,Kit Carson  ,       ,Big Sandy ARC                                             ,                                                                                                     ,CCARC                  ,2018-04-01 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,830619  ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
145.295  ,-0.6  ,         ,WA0JTB,"Sterling, CO"                                   ,CO   ,OPEN   ,    ,    ,64.2 ,NW ,                          ,08      ,238  ,40.6256 ,-103.207 ,145.295  ,144.695  ,           ,Logan       ,       ,NECARA                                                    ,"Autopatch, e-power."                                                                                ,CCARC                  ,2018-07-10 ,             ,On-Air   ,Wide area                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
444.75   ,5     ,162.2    ,NV8Q  ,"Colby, K-Link"                                  ,KS   ,OPEN   ,    ,    ,75.7 ,SE ,                          ,20      ,8689 ,39.4012 ,-101.101 ,444.75   ,449.75   ,162.2      ,Thomas      ,Unknown,                                                          ,"Linked to K-Link Repeater Network
E-power (batt)
Allstar 46010"                                                                  ,Kansas Repeater Council,2018-10-15 ,162.2        ,         ,"Wide area.
 Click for coverage map.  50 mi radius."                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                       ,"Repeater is intermittently off-air, and the Allstar node is down."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                        ,           ,          ,      ,            ,K-Link Repeater Network                         ,K-Link Repeater Network                                 ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
146.82   ,-0.6  ,156.7    ,NW0K  ,Colby                                            ,KS   ,OPEN   ,I   ,    ,77.2 ,SE ,                          ,20      ,3889 ,39.3915 ,-101.074 ,146.82   ,146.22   ,156.7      ,Thomas      ,       ,TARC                                                      ,"Closed autopatch, e-power."                                                                         ,Kansas Repeater Council,2019-05-06 ,156.7        ,On-Air   ,Local                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                        ,           ,          ,      ,            ,                                                ,                                                        ,        ,7552,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
146.76   ,-0.6  ,123      ,N0UGO ,Ogallala                                         ,NE   ,OPEN   ,EI  ,    ,77.4 ,NNE,Node Offline              ,31      ,11025,41.1282 ,-101.72  ,146.76   ,146.16   ,123        ,Keith       ,       ,Charlie Allen                                             ,                                                                                                     ,                       ,2015-07-09 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                       ,Linked to 146.940 in North Platte and 442.250 south of North Platte                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"Sun at 19:30.
Wed at 20:00."                                                                                                                                         ,           ,          ,      ,            ,                                                ,                                                        ,751985  ,7349,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
448.2    ,-5    ,CC7      ,W0FT  ,"Fort Morgan, Fort Morgan EOC"                   ,CO   ,OPEN   ,    ,D   ,84.1 ,W  ,                          ,08      ,10783,40.2503 ,-103.8   ,448.2    ,443.2    ,           ,Morgan      ,       ,                                                          ,Mixed Mode                                                                                           ,CCARC                  ,2017-03-11 ,             ,On-Air   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Full-time to the  Colorado TRBO System .                                                                                                               ,"See the website for more info on Time Slot, Talk Group and Color Code Programming."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                        ,yes        ,7         ,310812,            ,NEAHR                                           ,Rocky Mountain Ham Radio                                ,        ,    ,"Open Talkgroup View
 
 
 
 Assignment
 TS
 TG
 Access
 
  Rocky Mountain Wide  1  700      Northern Colorado Regional  2  721
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}"                                                                                                                               ,1                  ,2                         ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
147.27   ,0.6   ,         ,K0TAJ ,"McCook, 180' tower S. of McCook"                ,NE   ,OPEN   ,    ,    ,84.8 ,ESE,                          ,31      ,39   ,40.2053 ,-100.626 ,147.27   ,147.87   ,           ,Red Willow  ,       ,McCook ARA                                                ,Fusion Repeater                                                                                      ,                       ,2017-12-26 ,             ,On-Air   ,50                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Monday Nights at 7PM                                                                                                                                    ,           ,          ,      ,            ,                                                ,                                                        ,        ,    ,                                                                                                                                                                                                        ,                   ,                          ,                ,       ,                   ,               ,       ,                                                                                                                                                                                                                                                                       ,           ,        ,                    ,                    ,   ,                 ,              ,                           ,                      ,               ,         ,                   ,                 ,             ,          ,             ,        ,           ,       ,                ,            ,   ,              ,            ,           ,           ,           ,           ,             ,         ,       ,                 ,                ,       ,             ,                ,                  ,      ,    ,          ,       ,       ,              ,
