Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Affiliate,Features,Links,IRLP,Notes,Nets,Web links,Coordination,Last update,Sponsor,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Grid,On-air,Commands,EchoLink,AllStar,D-STAR Enabled,Node,Sources,Talkgroups,Rocky Mountain Wide,Southern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Central Regional,Northern Colorado Regional,Bandwidth,Mixed-Mode,Analog Bandwidth,Worldwide,North America,WW English FT,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Eastern Colorado,Devilshead Local,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Local Network,NXDN Enabled,RAN,NXDN Bandwidth,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English FT,Local/Cluster,N. Colorado
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,7.75,SSE,,08,69,38.38750076,-107.6740036,447.2,442.2,107.2,107.2,Montrose,On-Air,Delta/Montrose,Grand Mesa Repeater Assoc,9,Full-time to the GMRA Open System .,3710,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,8.73,W,,08,12442,38.47829819,-107.87599945,146.91,146.31,107.2,107.2,Montrose,On-Air,,,E-Power,,,,,,CCARC,2014-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,8.73,W,,08,7953,38.47829819,-107.87599945,146.79,146.19,107.2,107.2,Montrose,On-Air,,,E-power.,,,,,,CCARC,2012-09-06,KC0UXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,8.84,SW,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,,Montrose,On-Air,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",,,,,,,http://www.sjcham.com,,2020-01-17,San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,22.12,S,Static Talkgroups: 93 - North America - Slot 1,08,17998,38.18000031,-107.79000092,447.8,442.8,,,Ouray,On-Air,Montrose to Ouray,,,,,,,,,2019-11-27,AD0RM,1,1,311075,BrandMeister c Record retrieved from radioid.net,,DM68CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,26.66,NNE,,08,8179,38.86830139,-107.59200287,147.33,147.93,107.2,,Delta,On-Air,Wide area.,,,,,,,,CCARC,2016-05-16,North Fork Repeater Assoc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,30.3,NNW,,08,3745,38.90159988,-107.9260025,147.195,147.795,107.2,,Delta,,Local.,Colorado District 25 ARES,,,,,,,,2018-04-04,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,30.3,NNW,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,,Delta,On-Air,,,,,,,,,CCARC,2019-08-26,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,30.3,NNW,,08,3760,38.90159988,-107.9260025,449.825,444.825,100,,Delta,,,,,,,,,,CCARC,2018-04-04,W0ALC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,37.2,NNW,,08,3755,38.99440002,-107.97299957,447.35,442.35,107.2,,Delta,,,,,,,,,GMRA Repeaters,CCARC,2012-11-10,Grand Mesa Repeater Assoc (GMRA),,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,37.48,SSW,,08,254,37.99100113,-107.97200012,449.7,444.7,107.2,107.2,San Miguel,On-Air,Wide Area via links - Western Colorado - Eastern Utah,,E-power.,Full-time to the GMRA Open System .,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,CCARC,2017-12-07,Grand Mesa Repeater Association ( GMRA ),,,,,,DM67AX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,41.26,NNW,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",,E-power.,Full-time to the Colorado Connection System .,,Colorado Connection system of repeaters,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,CCARC,2017-01-06,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,41.26,NNW,,08,8763,39.0666008,-107.93699646,449.65,444.65,151.4,151.4,Mesa,On-Air,Wide area coverage,,NWS weather alert system.,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",8162,,,,CCARC,2016-10-28,Keri Washburn,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,42.91,ESE,,08,161,38.54579926,-106.92500305,449.95,444.95,,,Gunnison,,,,,,,,,,CCARC,2012-11-10,K5GF,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,42.91,ESE,,08,160,38.54579926,-106.92500305,147.12,147.72,,,Gunnison,On-Air,,,E-power.,,,,,,CCARC,2014-09-01,W0VTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,47.27,S,,08,210,37.81190109,-107.66400146,447.525,442.525,127.3,,San Juan,On-Air,Wide area.,,E-power.,,,,,,CCARC,2014-06-30,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,48.29,NW,,08,154,39.05390167,-108.2539978,449.3,444.3,107.2,107.2,Mesa,On-Air,Wide Area I-70 West Rifle to Western Utah,,e-power Linked to GMRA Open System,,3710,Closed IRLP out,RACES Wed 1930 hrs,http://www.gmra.org/,CCARC,2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,48.7,S,,08,209,37.79330063,-107.6289978,147.375,147.975,156.7,,San Juan,On-Air,Wide area.,,13,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,http://www.sjcham.com,CCARC,2018-01-15,,,,,,,DM67ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,49.42,NNW,"DMR repeater at 10,023' AMSL. Users are welcome to link to any Brandmeister talk group. Use TS1 to link to 310, 3100 or other high traffic talk groups. TS2 is used for linking to low traffic talk groups and for local calls. Unlink with a private call to 4000. Links will time out after 15 minutes of no local RF activity. Please experiment and have fun! 73 w0bx.",08,16721,39.08890152,-108.22699738,446.9125,441.9125,,,Mesa,On-Air,"Grand Junction, I70",,,,,Brandmeister network,,,,2019-11-27,Bill Frost,1,1,310868,Brandmeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,50.49,NW,Node Offline,08,153,38.89899826,-108.4960022,448.15,443.15,100,,Mesa,On-Air,,,,,7963,,,,CCARC,2016-04-22,,,,,,,DM58SV,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,50.64,W,,08,127,38.5766983,-108.64700317,449.4,444.4,131.8,131.8,Mesa,On-Air,Wide area via links - Western Colorado - Eastern Utah,,E-power.,Full-time to the GMRA Open System .,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,http://www.gmra.org,CCARC,2016-08-19,"WA4HND, Grand Mesa Repeater Association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,53.19,NNW,,08,36,39.24060059,-107.96099854,449.5,444.5,107.2,,Mesa,On-Air,,,E-power.,,,,,,CCARC,2016-07-01,Grand Mesa Repeater Association (GMRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,55.19,S,,08,208,37.69919968,-107.80599976,147.27,147.87,127.3,,San Juan,On-Air,Wide area.,Durango ARC,E-power.,,,,,,CCARC,2017-04-14,KB5ITT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,59.7,NW,,08,152,39.06389999,-108.55000305,147.39,147.99,107.2,,Mesa,,,,Linked.,,,,,,CCARC,2012-11-10,KE0TY,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,59.7,NW,,08,261,39.06389999,-108.55000305,146.82,146.22,107.2,,Mesa,On-Air,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,CCARC,2019-02-12,,,,,,,,,Enter *83 node# to link. *81 Unlink,,43554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,59.74,NW,,08,3757,39.06380081,-108.5510025,447.5,442.5,114.8,,Mesa,,,,,,,,,,CCARC,2012-11-10,KC0ARV,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,59.74,NW,,08,8175,39.06389999,-108.5510025,147.105,147.705,,,Mesa,On-Air,,,,,,,,,CCARC,2013-04-20,K0SSI,,,,,,DM59RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,59.74,NW,,08,8206,39.06389999,-108.5510025,449,444,,107.2,Mesa,On-Air,,Grand Mesa Repeater Assoc,,,,,,,CCARC,2015-08-03,KB0SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,59.74,NW,,08,11792,39.06389999,-108.5510025,446.775,441.775,,,Mesa,On-Air,,,,,,,,,,2014-08-16,,,,,,,,,,,,1,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,59.74,NW,ON - IDLE,08,11793,39.06389999,-108.5510025,449.775,444.775,173.8,88.5,Mesa,On-Air,,,,,7573,,,,CCARC,2015-10-25,,,,,,,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,59.74,NW,,08,8167,39.06389999,-108.5510025,145.22,144.62,107.2,,Mesa,,,,,,,,,,CCARC,2012-11-12,KE0TY,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,60.33,SE,,08,14923,37.79330063,-107.05500031,449.525,444.525,100,100,Mineral,On-Air,,The Fun Machine,,Full-time to the The Fun Machine System .,,,,,,2017-01-06,N0PKT,,,,,,DM67lt,,,,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,61.1,NW,,08,147,39.11729813,-108.52200317,145.175,144.575,107.2,,Mesa,On-Air,Greater grand Junction area.,,"E-power,",,3161,,,,CCARC,2016-05-11,,,,,,,DM59RC,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,61.9,SE,,08,63,37.8492012,-106.9260025,146.925,146.325,,,Mineral,On-Air,,,,,,WA0JS license expired,,,CCARC,2012-11-12,Creede ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,64.58,WNW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,,Mesa,On-Air,,,Solar Powered,,,,,http://www.gmra.org/repeaters.html,,2019-12-22,GMRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,64.97,NE,,08,211,39.21310043,-106.93699646,146.67,146.07,107.2,,Pitkin,On-Air,Wide area.,,Linked.,,,,,,CCARC,2012-11-10,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,66.16,NNE,,08,35,39.40000153,-107.31500244,449.725,444.725,179.9,,Garfield,On-Air,Wide area.,,EchoLink.,,3722,,,,CCARC,2012-11-10,Roaring Fork Amateur Repeater Cooperative (RFARC),,,,,,,,,,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,66.16,NNE,,08,259,39.40000153,-107.31500244,147.39,147.99,107.2,,Garfield,On-Air,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,2016-07-14,Roaring Fork Amateur Repeater Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,66.85,NNE,,08,129,39.42639923,-107.37999725,146.85,146.25,88.5,123,Garfield,On-Air,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,70,,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,CCARC,2016-05-23,Colorado Connection,,,,,,DM69HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,66.85,NNE,,08,130,39.42639923,-107.37999725,146.88,146.28,107.2,,Garfield,On-Air,,,,"Full-time to 447.60000 (KI0G) at Glenwood Springs, CO .",,,,,CCARC,2012-11-10,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,66.85,NNE,,08,132,39.42639923,-107.37999725,447.1,442.1,107.2,,Garfield,On-Air,,,,,,,,,CCARC,2012-11-10,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,66.85,NNE,,08,255,39.42639923,-107.37999725,449.6,444.6,107.2,,Garfield,On-Air,Wide area.,,e-power Linked to GMRA open system,,,,,http://www.gmra.org,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,67.05,NE,,08,260,39.17610168,-106.82900238,447.05,442.05,136.5,136.5,Pitkin,On-Air,Aspen-Snowmass areas.,,,,,,,,CCARC,2012-11-10,Roaring Fork Amateur Repeater Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,67.76,N,Node Offline,08,200,39.47449875,-107.77200317,146.76,146.16,107.2,,Garfield,On-Air,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,E-power.,,,,,,CCARC,2015-06-03,"N0SWE, Roaring Fork Amateur Repeater Cooperative",,,,,,DM69cl,,,243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,68.16,NW,,08,151,39.06560135,-108.7480011,146.94,146.34,107.2,107.2,Mesa,On-Air,Grand Junction 30-50 mi,,E-power and autopatch for WCARC members,,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,http://w0rrz.org,CCARC,2016-05-11,Western Colorado Amateur Radio Club,,,,,,DM59PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,,68.16,NW,,08,155,39.06560135,-108.7480011,449.575,444.575,131.8,131.8,Mesa,On-Air,Grand Junction,Grand Mesa Repeater Assoc,e-power. Linked to GMRA Open System,,3710,Closed IRLP out,Wed RACES Net 1930 Hrs,GMRA Repeaters,CCARC,2018-01-15,,,,,,,DM59PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,68.55,NNW,,08,253,39.45190048,-108.05200195,449.8,444.8,107.2,,Garfield,On-Air,,,8,,,,,GMRA Repeaters,CCARC,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,72.35,NNE,Node Offline,08,6009,39.42470169,-107.09700012,447.15,442.15,136.5,,Garfield,On-Air,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,2011-08-01,,,,,,,DM69KK,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
