Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,1.81000,1.81000,,Simplex,CW,CW QRP ,None,100.0 Hz,100.0 Hz,023,Both N,Off,CW QRP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,1.91000,1.91000,,Simplex,LSB,SSB QRP ,None,100.0 Hz,100.0 Hz,023,Both N,Off,SSB QRP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,3.59000,3.59000,,Simplex,RTTY,RTTY DX ,None,100.0 Hz,100.0 Hz,023,Both N,Off,RTTY DX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,3.88500,3.88500,,Simplex,AM,AM Calling ,None,100.0 Hz,100.0 Hz,023,Both N,Off,AM Calling,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,7.04000,7.04000,,Simplex,RTTY,RTTY DX ,None,100.0 Hz,100.0 Hz,023,Both N,Off,RTTY DX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,7.29000,7.29000,,Simplex,AM,AM Calling ,None,100.0 Hz,100.0 Hz,023,Both N,Off,AM Calling,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,14.28600,14.28600,,Simplex,AM,AM Calling ,None,100.0 Hz,100.0 Hz,023,Both N,Off,AM Calling,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,29.60000,29.60000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,50.12500,50.12500,,Simplex,USB,SSB Calling ,None,100.0 Hz,100.0 Hz,023,Both N,Off,SSB Calling,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,50.62000,50.62000,,Simplex,DV,Digital Calling ,None,100.0 Hz,100.0 Hz,023,Both N,Off,Digital Calling,,,CQCQCQ,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,52.02000,52.02000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,52.04000,52.04000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,52.52500,52.52500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,52.54000,52.54000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,53.02000,53.02000,,Simplex,FM,Mixed ,None,100.0 Hz,100.0 Hz,023,Both N,Off,Mixed,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,53.03000,51.33000,,-DUP,FM,WB0WDF F,T Sql,88.5 Hz,88.5 Hz,023,Both N,Off,8 29 CO Fremont Canon City Fremont Peak WB0WDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,53.03000,52.03000,1.00 MHz,-DUP,FM,K7UWR F,None,100.0 Hz,100.0 Hz,023,Both N,Off,56 4 WY Albany Laramie Pilot Hill K7UWR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,53.09000,51.39000,,-DUP,FM,W0TX F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 105 CO Jefferson Lakewood Green Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,53.13000,51.43000,,-DUP,FM,KC0CVU F,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 8158 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,53.17000,52.67000,500 kHz,-DUP,FM,N6LXX FL,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 10514 CO Jefferson Morrison Mt. Morrison N6LXX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,53.52000,53.52000,,Simplex,FM,Mixed ,None,100.0 Hz,100.0 Hz,023,Both N,Off,Mixed,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,53.90000,53.90000,,Simplex,FM,Mixed ,None,100.0 Hz,100.0 Hz,023,Both N,Off,Mixed,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
23,144.20000,144.20000,,Simplex,USB,SSB Calling ,None,100.0 Hz,100.0 Hz,023,Both N,Off,SSB Calling,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
24,145.11500,144.51500,600 kHz,-DUP,FM,W0PHC F,Tone,88.5 Hz,100.0 Hz,023,Both N,Off,8 191 CO Pueblo Pueblo W0PHC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
25,145.11500,144.51500,600 kHz,-DUP,FM,W0UPS FE,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 123 CO Larimer Fort Collins Horsetooth Mountain W0UPS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
26,145.13000,144.53000,600 kHz,-DUP,FM,KB0VJJ F,Tone,88.5 Hz,123.0 Hz,023,Both N,Off,8 37 CO El Paso Colorado Springs Cheyenne Mountain KB0VJJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
27,145.14500,144.54500,600 kHz,-DUP,FM,W0CRA F,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 107 CO Clear Creek Idaho Springs Squaw Mountain W0CRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
28,145.16000,144.56000,600 kHz,-DUP,FM,KB0VJJ F,Tone,88.5 Hz,123.0 Hz,023,Both N,Off,8 244 CO Jackson Walden Peterson Ridge KB0VJJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
29,145.16000,144.56000,600 kHz,-DUP,FM,W0CRA FEI,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 38 CO El Paso Colorado Springs Cheyenne Mountain W0CRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
30,145.17500,144.57500,600 kHz,-DUP,FM,W0RRZ FI,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 147 CO Mesa Grand Junction GJT W0RRZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
31,145.19000,144.59000,600 kHz,-DUP,FM,N0OBA F,T Sql,131.8 Hz,131.8 Hz,023,Both N,Off,8 8741 CO Arapahoe Aurora N0OBA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
32,145.22000,144.62000,600 kHz,-DUP,FM,KE0TY F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 8167 CO Mesa Grand Junction KE0TY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
33,145.26500,144.66500,600 kHz,-DUP,FM,WD0HAM F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 3740 CO Moffat Craig WD0HAM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
34,145.28000,144.68000,600 kHz,-DUP,FM,KE0SJ F,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 140 CO Jefferson Golden Centennial Cone KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
35,145.28000,144.68000,600 kHz,-DUP,FM,WB0SLW F,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 18707 CO Pueblo Pueblo WB0SLW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
36,145.29500,144.69500,600 kHz,-DUP,FM,WA0JTB F,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 238 CO Logan Sterling CO WA0JTB,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
37,145.29500,144.69500,600 kHz,-DUP,FM,KC0CVU F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 203 CO Chaffee Salida Methodist Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
38,145.31000,144.71000,600 kHz,-DUP,FM,KB0VJJ F,Tone,88.5 Hz,123.0 Hz,023,Both N,Off,8 72 CO Gilpin Boulder Thorodin Mountain KB0VJJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
39,145.32500,144.72500,600 kHz,-DUP,FM,KD0MRC F,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 16739 CO Chaffee Maysville KD0MRC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
40,145.34000,144.74000,600 kHz,-DUP,FM,KE4GUQ FI,Tone,103.5 Hz,127.3 Hz,023,Both N,Off,8 73 CO Jefferson Evergreen KE4GUQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
41,145.35500,144.75500,600 kHz,-DUP,FM,KB0VJJ F,Tone,88.5 Hz,123.0 Hz,023,Both N,Off,8 149 CO Mesa Grand Junction Grand Mesa KB0VJJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
42,145.35500,144.75500,600 kHz,-DUP,FM,N0JPX FI,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 168 CO Huerfano La Veta N0JPX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
43,145.38500,144.78500,600 kHz,-DUP,DV,KC0CVU S,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8088 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,CQCQCQ,KC0CVU C,KC0CVU G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
44,145.38750,144.78750,600 kHz,-DUP,DV,KC0DS S,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8171 CO Boulder Boulder KC0DS,,,CQCQCQ,KC0DS  C,KC0DS  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
45,145.40000,144.80000,600 kHz,-DUP,FM,KB0VJJ F,Tone,88.5 Hz,123.0 Hz,023,Both N,Off,8 2 CO Washington Akron KB0VJJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
46,145.40000,144.80000,600 kHz,-DUP,FM,KB0UDD F,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 5 CO Arapahoe Aurora Smoky Hill KB0UDD,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
47,145.41500,144.81500,600 kHz,-DUP,FM,KA0WUC F,Tone,179.9 Hz,100.0 Hz,023,Both N,Off,8 249 CO Teller Woodland Park KA0WUC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
48,145.43000,144.83000,600 kHz,-DUP,FM,WA6IFI F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 239 CO Las Animas Trinidad Raton Pass WA6IFI,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
49,145.44500,144.84500,600 kHz,-DUP,FM,KB0VJJ F,Tone,88.5 Hz,100.0 Hz,023,Both N,Off,8 172 CO Lake Leadville Mosquito Pass KB0VJJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
50,145.46000,144.86000,600 kHz,-DUP,FM,WB0WDF F,Tone,67.0 Hz,100.0 Hz,023,Both N,Off,8 64 CO Teller Cripple Creek WB0WDF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
51,145.46000,144.86000,600 kHz,-DUP,FM,W0CRA FEI,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 8 CO Boulder Boulder Eldorado Mountain W0CRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
52,145.47500,144.87500,600 kHz,-DUP,FM,KE0SJ F,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 75 CO Jefferson Boulder Blue Mountain KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
53,145.47500,144.87500,600 kHz,-DUP,FM,WD0BQM F,None,100.0 Hz,100.0 Hz,023,Both N,Off,31 57 NE Scotts Bluff Scottsbluff WD0BQM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
54,145.49000,144.89000,600 kHz,-DUP,FM,W0TX F,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 76 CO Jefferson Idaho Springs Centennial Cone W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
55,145.49000,144.89000,600 kHz,-DUP,FM,WD0EKR F,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,8 30 CO Fremont Canon City Fremont Peak WD0EKR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
56,145.67000,145.67000,,Simplex,FM,D Star Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,D-Star Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
57,146.40000,146.40000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
58,146.41500,146.41500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
59,146.43000,146.43000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
60,146.44500,146.44500,,Simplex,FM,AG0N FI,T Sql,88.5 Hz,88.5 Hz,023,Both N,Off,31 11355 NE Scotts Bluff Scottsbluff AG0N,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
61,146.44500,146.44500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
62,146.46000,146.46000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
63,146.47500,146.47500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
64,146.49000,146.49000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
65,146.50500,146.50500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
66,146.52000,146.52000,,Simplex,FM,FM Calling ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Calling,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
67,146.53500,146.53500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
68,146.55000,146.55000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
69,146.56500,146.56500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
70,146.58000,146.58000,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
71,146.59500,146.59500,,Simplex,FM,FM Simplex ,None,100.0 Hz,100.0 Hz,023,Both N,Off,FM Simplex,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
72,146.61000,146.01000,600 kHz,-DUP,FM,W0DK FI,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 13 CO Boulder Boulder W0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
73,146.61000,146.01000,600 kHz,-DUP,FM,K0RV F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 256 CO Eagle Vail Bald Mountain K0RV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
74,146.61000,146.01000,600 kHz,-DUP,FM,N0LAR FEI,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,8 3794 CO Prowers Lamar 4 Miles East of Lamar N0LAR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
75,146.62500,146.02500,600 kHz,-DUP,FM,W0UPS F,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 246 CO Larimer Fort Collins Buckhorn Mountain W0UPS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
76,146.64000,146.04000,600 kHz,-DUP,FM,N0KM FL,T Sql,77.0 Hz,77.0 Hz,023,Both N,Off,8 14200 CO Rio Grande Center N0KM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
77,146.64000,146.04000,600 kHz,-DUP,FM,N0PUF F,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 77 CO Jefferson Golden Centennial Cone N0PUF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
78,146.64000,146.04000,600 kHz,-DUP,FM,KZ0DEM F,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 3792 CO Las Animas Pritchett Tator Butte KZ0DEM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
79,146.65500,146.05500,600 kHz,-DUP,FM,K0ST F,Tone,123.0 Hz,100.0 Hz,023,Both N,Off,8 192 CO Pueblo Pueblo Pueblo K0ST,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
80,146.67000,146.07000,600 kHz,-DUP,FM,KB0UDD F,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 78 CO Clear Creek Idaho Springs Squaw Mountain KB0UDD,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
81,146.67000,146.07000,600 kHz,-DUP,FM,K0CL F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 211 CO Pitkin Snowmass Village K0CL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
82,146.68500,146.08500,600 kHz,-DUP,FM,NX0G F,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 169 CO Park Lake George Badger Mountain NX0G,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
83,146.68500,146.08500,600 kHz,-DUP,FM,N0FH FEI,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,8 119 CO Larimer Estes Park N0FH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
84,146.70000,146.10000,600 kHz,-DUP,FM,W0DK F,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 14 CO Boulder Boulder Table Mountain W0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
85,146.70000,146.10000,600 kHz,-DUP,FM,WB0QMR FI,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 23 CO Summit Breckenridge WB0QMR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
86,146.70000,146.10000,600 kHz,-DUP,FM,N7RON FI,Tone,162.2 Hz,100.0 Hz,023,Both N,Off,56 5791 WY Carbon Rawlins N7RON,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
87,146.71500,146.11500,600 kHz,-DUP,FM,N0JXN F,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,8 79 CO Denver Denver N0JXN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
