Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,447.70000,442.70000,5.00 MHz,-DUP,FM,WX7Y F,Tone,123.0 Hz,100.0 Hz,023,Both N,Off,49 272 UT Emery Castle Dale Horn Mountain WX7Y,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,447.72500,442.72500,5.00 MHz,-DUP,FM,K0NR F,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 183 CO El Paso Monument Monument Hill K0NR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,447.72500,442.72500,5.00 MHz,-DUP,FM,W7RF F,Tone,131.8 Hz,100.0 Hz,023,Both N,Off,8 8194 CO Larimer Fort Collins W7RF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,447.75000,442.75000,5.00 MHz,-DUP,FM,WD0EKR FI,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,8 32 CO Fremont Canon City Fremont Peak WD0EKR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,447.75000,442.75000,5.00 MHz,-DUP,FM,N0SZ FI,T Sql,141.3 Hz,141.3 Hz,023,Both N,Off,8 19 CO Boulder Boulder Lee Hill N0SZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,447.82500,442.82500,5.00 MHz,-DUP,FM,W0TX F,DTCS,100.0 Hz,100.0 Hz,073,Both N,Off,8 5805 CO Jefferson Lakewood St Anthony Medical Campus W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,447.85000,442.85000,5.00 MHz,-DUP,FM,AC0KQ FL,T Sql,141.3 Hz,141.3 Hz,023,Both N,Off,8 9580 CO Clear Creek Evergreen Saddleback Mountain AC0KQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,447.87500,442.87500,5.00 MHz,-DUP,FM,N6LXX FL,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 10513 CO Jefferson Morrison Mt. Morrison N6LXX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,447.90000,442.90000,5.00 MHz,-DUP,FM,WB0TPT F,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8195 CO Denver Denver WB0TPT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,447.92500,442.92500,5.00 MHz,-DUP,FM,K0FEZ F,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8196 CO Denver Denver K0FEZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,447.97500,442.97500,5.00 MHz,-DUP,FM,K0JSC FLEI,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 7185 CO Fremont Canon City Colorado K0JSC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,447.97500,442.97500,5.00 MHz,-DUP,FM,W0CRA F,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 20 CO Boulder Boulder Eldorado Mountain W0CRA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,448.00000,443.00000,5.00 MHz,-DUP,FM,KC0CVU F,Tone,107.2 Hz,100.0 Hz,023,Both N,Off,8 269 CO El Paso Colorado Springs Cheyenne Mountain KC0CVU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
