Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,146.61000,146.01000,600 kHz,-DUP,FM,0QS Hugoton,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,20 18554 479.87 KS Stevens Hugoton W0QS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,145.13000,144.53000,600 kHz,-DUP,FM,5BC Albuquerque BCFD Fire Statio,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15613 412.86 NM Bernalillo Albuquerque BCFD Fire Station 35 NM5BC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,145.15000,144.55000,600 kHz,-DUP,FM,5BC Tijeras Cedro Peak,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15614 426.11 NM Bernalillo Tijeras Cedro Peak NM5BC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,146.98000,146.38000,600 kHz,-DUP,FM,5EM Grants Mt Taylor,T Sql,141.3 Hz,141.3 Hz,023,Both N,Off,35 5349 418.06 NM Cibola Grants Mt Taylor NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,147.04000,147.64000,600 kHz,+DUP,FM,5EM Santa Rosa Moon Ranch,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15634 464.06 NM Guadalupe Santa Rosa Moon Ranch NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,147.38000,147.98000,600 kHz,+DUP,FM,5GU Albuquerque,None,100.0 Hz,100.0 Hz,023,Both N,Off,35 24 423.32 NM Bernalillo Albuquerque N5GU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,145.29000,144.69000,600 kHz,-DUP,FM,5ML Albuquerque Sandia Crest,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 15 408.81 NM Bernalillo Albuquerque Sandia Crest NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,147.36000,147.96000,600 kHz,+DUP,FM,5ML Conchas Dam Mesa Rica,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 64 448.96 NM San Miguel Conchas Dam Mesa Rica NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,147.22000,147.82000,600 kHz,+DUP,FM,5ML Gallup Deza Bluffs,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 89 393.09 NM McKinley Gallup Deza Bluffs NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,146.66000,146.06000,600 kHz,-DUP,FM,5ML Grants Microwave Ridge,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 94 424.95 NM Cibola Grants Microwave Ridge NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,147.34000,147.94000,600 kHz,+DUP,FM,5ML Tijeras Cedro Peak,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 173 426.10 NM Bernalillo Tijeras Cedro Peak NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,147.22000,147.82000,600 kHz,+DUP,FM,5ML Tucumcari Tucumcari Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 177 480.22 NM Quay Tucumcari Tucumcari Mountain NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,147.10000,147.70000,600 kHz,+DUP,FM,5RR Rio Rancho Rainbow,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 139 402.72 NM Sandoval Rio Rancho Rainbow NM5RR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,147.08000,147.68000,600 kHz,+DUP,FM,5SC Placitas La Madera,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 9768 397.86 NM Sandoval Placitas La Madera NM5SC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,147.36000,147.96000,600 kHz,+DUP,FM,5XE Albuquerque,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 23 419.98 NM Bernalillo Albuquerque KB5XE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
