Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,448.27500,443.27500,5.00 MHz,-DUP,FM,0BG Aurora,Tone,156.7 Hz,156.7 Hz,023,Both N,Off,8 8199 98.00 CO Arapahoe Aurora W0BG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,147.10500,147.70500,600 kHz,+DUP,FM,0DE Simla,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 12167 75.00 CO Elbert Simla WA0DE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,448.25000,443.25000,5.00 MHz,-DUP,FM,0KG Colorado Springs Broadmoor A,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 8198 2.00 CO El Paso Colorado Springs Broadmoor Area N0KG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,447.72500,442.72500,5.00 MHz,-DUP,FM,0NR Monument Colorado Springs Mo,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 183 28.00 CO El Paso Monument Colorado Springs Monument Hill K0NR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,146.89500,146.29500,600 kHz,-DUP,FM,0PC Bailey Dick Mountain,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 7 85.00 CO Park Bailey Dick Mountain AB0PC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,447.45000,442.45000,5.00 MHz,-DUP,FM,0PW Pueblo West Liberty Point,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,8 18346 59.00 CO Pueblo Pueblo West Liberty Point NA0PW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,145.47500,144.87500,600 kHz,-DUP,FM,0SJ Boulder Blue Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 75 101.00 CO Jefferson Boulder Blue Mountain KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,146.65500,146.05500,600 kHz,-DUP,FM,0ST Pueblo Pueblo,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 192 68.00 CO Pueblo Pueblo Pueblo K0ST,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,146.85000,146.25000,600 kHz,-DUP,FM,0TP Colorado Springs,Tone,156.7 Hz,103.5 Hz,023,Both N,Off,8 42 5.00 CO El Paso Colorado Springs AD0TP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,53.09000,52.09000,1.00 MHz,-DUP,FM,0TX Lakewood Green Mountain,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 105 100.00 CO Jefferson Lakewood Green Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
