Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,147.06000,147.66000,600 kHz,+DUP,FM,6BA Twentynine Palms,T Sql,136.5 Hz,136.5 Hz,023,Both N,Off,6 464 234.16 CA San Bernardino Twentynine Palms W6BA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,146.79000,146.19000,600 kHz,-DUP,FM,6BA Yucca Valley,T Sql,136.5 Hz,136.5 Hz,023,Both N,Off,6 474 250.15 CA San Bernardino Yucca Valley W6BA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,446.20000,441.20000,5.00 MHz,-DUP,FM,6BB Big Bear E. of Snow Summit,T Sql,103.5 Hz,103.5 Hz,023,Both N,Off,6 9635 261.63 CA San Bernardino Big Bear E. of Snow Summit K6BB,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,147.33000,147.93000,600 kHz,+DUP,FM,6BB Big Bear Lake,Tone,131.8 Hz,131.8 Hz,023,Both N,Off,6 443 261.63 CA San Bernardino Big Bear Lake K6BB,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,146.76000,146.16000,600 kHz,-DUP,FM,6DK Barstow,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,6 6968 215.02 CA San Bernardino Barstow K6DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,146.91000,146.31000,600 kHz,-DUP,FM,6IY Bishop Silver Peak,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,6 183 227.53 CA Inyo Bishop Silver Peak W6IY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,147.21000,147.81000,600 kHz,+DUP,FM,6PH Lone Pine Alabama Hills,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,6 181 259.46 CA Inyo Lone Pine Alabama Hills W6PH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,147.97500,147.37500,600 kHz,-DUP,FM,6RE Ridgecrest El Paso Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,6 8367 243.48 CA Kern Ridgecrest El Paso Peak WI6RE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,448.80000,443.80000,5.00 MHz,-DUP,FM,6RE Ridgecrest El Paso Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,6 2634 238.66 CA Kern Ridgecrest El Paso Peak WI6RE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,146.76000,146.16000,600 kHz,-DUP,FM,7JH Cedar City Iron Mountain,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,49 26 233.54 UT Iron Cedar City Iron Mountain K7JH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,448.80000,443.80000,5.00 MHz,-DUP,FM,7JH Cedar City Iron Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 10062 233.54 UT Iron Cedar City Iron Mountain K7JH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,146.98000,146.38000,600 kHz,-DUP,FM,7KM Cedar City Iron Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 146 233.62 UT Iron Cedar City Iron Mountain N7KM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,147.26000,147.86000,600 kHz,+DUP,FM,7SG St George,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 61 178.72 UT Washington St George K7SG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,448.50000,443.50000,5.00 MHz,-DUP,FM,7WS Hurricane Kolob Peak,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 72 237.22 UT Washington Hurricane Kolob Peak K7WS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,449.72500,444.72500,5.00 MHz,-DUP,FM,7YK Enterprise Black Hills,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 108 199.75 UT Washington Enterprise Black Hills KD7YK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,145.15000,144.55000,600 kHz,-DUP,DV,AAA Cedar City,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 11155 259.03 UT Iron Cedar City WR7AAA,,,CQCQCQ,WR7AAA C,WR7AAA G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
