Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,449.08000,444.08000,5.00 MHz,-DUP,DV,5MT Redlands,T Sql,141.3 Hz,141.3 Hz,023,Both N,Off,6 17700 293.17 CA San Bernardino Redlands AD5MT,,,CQCQCQ,AD5MT  B,AD5MT  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,146.17500,146.77500,600 kHz,+DUP,FM,6AV Hesperia,Tone,97.4 Hz,97.4 Hz,023,Both N,Off,6 11403 269.37 CA San Bernardino Hesperia WA6AV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,145.26000,144.66000,600 kHz,-DUP,FM,6BX Redlands,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,6 13257 293.03 CA San Bernardino Redlands AI6BX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,147.18000,147.78000,600 kHz,+DUP,FM,6BX Redlands,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,6 382 292.97 CA San Bernardino Redlands AI6BX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,447.00000,442.00000,5.00 MHz,-DUP,FM,6BX Redlands,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,6 13505 293.03 CA San Bernardino Redlands AI6BX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,146.08500,146.68500,600 kHz,+DUP,FM,6FM Indian Wells Bird Spring Pas,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,6 185 275.12 CA Kern Indian Wells Bird Spring Pass KF6FM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,447.32000,442.32000,5.00 MHz,-DUP,FM,6JR Palm Springs Edom Hill,Tone,131.8 Hz,131.8 Hz,023,Both N,Off,6 6598 274.67 CA Riverside Palm Springs Edom Hill K6JR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,145.41000,144.81000,600 kHz,-DUP,FM,6LI Bakersfield Shirley Peak,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,6 531 308.38 CA Kern Bakersfield Shirley Peak W6LI,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,146.89500,146.29500,600 kHz,-DUP,FM,6OI Idyllwild,T Sql,118.8 Hz,118.8 Hz,023,Both N,Off,6 373 299.26 CA Riverside Idyllwild KD6OI,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,146.94000,146.34000,600 kHz,-DUP,FM,6OV Bishop Silver Peak,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,6 2706 303.09 CA Inyo Bishop Silver Peak N6OV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,145.45000,144.85000,600 kHz,-DUP,FM,6SR Lake Isabella Sawmill Road,Tone,156.7 Hz,156.7 Hz,023,Both N,Off,6 298 302.55 CA Kern Lake Isabella Sawmill Road N6SR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,52.58000,52.08000,500 kHz,-DUP,FM,6TD Bishop Mazourka Peak,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,6 10119 280.36 CA Inyo Bishop Mazourka Peak W6TD,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,146.76000,146.16000,600 kHz,-DUP,FM,6TD Independence Mazourka Peak,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,6 182 280.27 CA Inyo Independence Mazourka Peak W6TD,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,147.24000,147.84000,600 kHz,+DUP,FM,6WW Wrightwood,T Sql,91.5 Hz,91.5 Hz,023,Both N,Off,6 3628 296.02 CA San Bernardino Wrightwood KW6WW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,445.24000,440.24000,5.00 MHz,-DUP,FM,6WW Wrightwood,T Sql,127.3 Hz,127.3 Hz,023,Both N,Off,6 3625 296.55 CA San Bernardino Wrightwood KW6WW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,147.06000,147.66000,600 kHz,+DUP,FM,7AZ Blythe Cunningham Mtn,Tone,203.5 Hz,203.5 Hz,023,Both N,Off,4 107 292.77 AZ La Paz Blythe Cunningham Mtn KR7AZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,145.42000,144.82000,600 kHz,-DUP,FM,7OD Hemet Hemet Valley Med Ctr,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,6 371 309.13 CA Riverside Hemet Hemet Valley Med Ctr N7OD,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,147.99000,147.39000,600 kHz,-DUP,FM,7SQ El Mirage,None,100.0 Hz,100.0 Hz,023,Both N,Off,6 13342 279.23 CA San Bernardino El Mirage AA7SQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,147.39000,147.99000,600 kHz,+DUP,FM,7SQ Victorville,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,6 12695 271.32 CA San Bernardino Victorville AA7SQ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,445.70000,440.70000,5.00 MHz,-DUP,FM,AMS Running Springs,T Sql,151.4 Hz,151.4 Hz,023,Both N,Off,6 5587 275.55 CA San Bernardino Running Springs K6AMS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,443.77500,448.77500,5.00 MHz,+DUP,FM,ARA Aguila Smith Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,4 252 281.59 AZ La Paz Aguila Smith Peak W7ARA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,146.64000,146.04000,600 kHz,-DUP,FM,ARR Tonopah,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,32 351 283.53 NV Nye Tonopah N7ARR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
