Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,146.67000,146.07000,600 kHz,-DUP,FM,0EP Durango Eagle Pass,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 113 186.00 CO La Plata Durango Eagle Pass K0EP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,146.70000,146.10000,600 kHz,-DUP,FM,0EP Durango Missionary Ridge,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 116 204.00 CO La Plata Durango Missionary Ridge K0EP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,147.33000,147.93000,600 kHz,+DUP,FM,0MR Paonia,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 8179 173.00 CO Delta Paonia KI0MR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,449.50000,444.50000,5.00 MHz,-DUP,FM,0SW Collbran,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 36 156.00 CO Mesa Collbran KB0SW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,447.00000,442.00000,5.00 MHz,-DUP,FM,0SW Loma Baxter Pass,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 174 123.00 CO Garfield Loma Baxter Pass KB0SW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,145.22000,144.62000,600 kHz,-DUP,FM,0TY Grand Junction,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 8167 102.00 CO Mesa Grand Junction KE0TY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,147.39000,147.99000,600 kHz,+DUP,FM,0TY Grand Junction,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 152 102.00 CO Mesa Grand Junction KE0TY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,448.75000,443.75000,5.00 MHz,-DUP,FM,7DB Page (az) Navajo Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 169 207.00 UT San Juan Page (az) Navajo Mountain NA7DB,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,147.20000,147.80000,600 kHz,+DUP,FM,7GX Price Wood Hill,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,49 10058 168.00 UT Carbon Price Wood Hill K7GX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,448.30000,443.30000,5.00 MHz,-DUP,FM,7GX Price Wood Hill,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 10061 159.00 UT Carbon Price Wood Hill K7GX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,449.37500,444.37500,5.00 MHz,-DUP,FM,7TA Logan Sedgwick Peak,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 18470 157.00 UT Cache Logan Sedgwick Peak AE7TA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,447.62500,442.62500,5.00 MHz,-DUP,FM,7YI Castle Dale Horn Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 73 155.00 UT Emery Castle Dale Horn Mountain K7YI,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,448.07500,443.07500,5.00 MHz,-DUP,DV,7YI Price Cedar Mountain,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 4237 114.00 UT Carbon Price Cedar Mountain K7YI,,,CQCQCQ,K7YI   B,K7YI   G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,147.28000,147.88000,600 kHz,+DUP,FM,7ZW Altamont,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,49 14977 208.00 UT Duchesne Altamont AD7ZW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,147.36000,147.96000,600 kHz,+DUP,FM,ALC Cedaredge,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 3749 145.00 CO Delta Cedaredge W0ALC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,449.82500,444.82500,5.00 MHz,-DUP,FM,ALC Cedaredge,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 3760 145.00 CO Delta Cedaredge W0ALC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,447.50000,442.50000,5.00 MHz,-DUP,FM,ARV Grand Junction,Tone,114.8 Hz,114.8 Hz,023,Both N,Off,8 3757 102.00 CO Mesa Grand Junction KC0ARV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,147.10000,147.70000,600 kHz,+DUP,FM,BAR Vernal Blue Mountain,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,49 163 201.00 UT Uintah Vernal Blue Mountain W7BAR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,449.90000,444.90000,5.00 MHz,-DUP,FM,BAR Vernal Uintah County EOC,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,49 13408 171.00 UT Uintah Vernal Uintah County EOC W7BAR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,146.72000,146.12000,600 kHz,-DUP,FM,BSK Manti Barton Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 255 209.00 UT Sanpete Manti Barton Peak K7BSK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,145.15000,144.55000,600 kHz,-DUP,DV,BSK Sterling,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 14748 198.00 UT Sanpete Sterling KB7BSK,,,CQCQCQ,KB7BSK C,KB7BSK G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,447.95000,442.95000,5.00 MHz,-DUP,DV,BSK Sterling,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 14749 198.00 UT Utah Sterling KB7BSK,,,CQCQCQ,KB7BSK B,KB7BSK G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
23,145.49000,144.89000,600 kHz,-DUP,FM,BYU Myton Flat Top,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,49 13041 189.00 UT Duchesne Myton Flat Top W7BYU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
24,146.92000,146.32000,600 kHz,-DUP,FM,BYU Roosevelt,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,49 281 201.00 UT Duchesne Roosevelt W7BYU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
25,449.70000,444.70000,5.00 MHz,-DUP,FM,BYU Vernal,Tone,136.5 Hz,136.5 Hz,023,Both N,Off,49 182 201.00 UT Uintah Vernal W7BYU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
26,146.74000,146.14000,600 kHz,-DUP,FM,CBS Altamont,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 253 208.00 UT Duchesne Altamont WB7CBS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
27,145.43000,144.83000,600 kHz,-DUP,FM,CEU Price Wood Hill,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,49 78 159.00 UT Carbon Price Wood Hill W7CEU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
28,448.30000,443.30000,5.00 MHz,-DUP,FM,CEU Price Wood Hill,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,49 2765 159.00 UT Carbon Price Wood Hill W7CEU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
29,145.13750,144.53750,600 kHz,-DUP,DV,CTZ Davis County,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 19773 157.00 UT Davis Davis County KJ7CTZ,,,CQCQCQ,KJ7CTZ C,KJ7CTZ G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
30,449.92500,444.92500,5.00 MHz,-DUP,FM,CWI Page (AZ) Navajo Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 183 207.00 UT San Juan Page (AZ) Navajo Mountain W7CWI,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
31,447.35000,442.35000,5.00 MHz,-DUP,FM,Cedaredge Grand Mesa,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 3755 144.00 CO Delta Cedaredge Grand Mesa,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
32,146.66000,146.06000,600 kHz,-DUP,FM,DHH Ephraim Horseshoe,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 190 185.00 UT Sanpete Ephraim Horseshoe W7DHH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
33,145.12500,144.52500,600 kHz,-DUP,FM,EGG Ogden Sheriff Office,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 19772 157.00 UT Weber Ogden Sheriff Office KE7EGG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
34,448.62500,443.62500,5.00 MHz,-DUP,FM,EVE Durango,T Sql,131.8 Hz,131.8 Hz,023,Both N,Off,8 115 206.00 CO La Plata Durango KC5EVE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
35,448.15000,443.15000,5.00 MHz,-DUP,FM,GJT Grand Junction,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 153 98.00 CO Mesa Grand Junction W0GJT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
36,146.82000,146.22000,600 kHz,-DUP,FM,GJT Grand Junction 9 Mile Hwy 14,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 261 102.00 CO Mesa Grand Junction 9 Mile Hwy 141 Unaweep W0GJT,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
37,449.20000,444.20000,5.00 MHz,-DUP,FM,Glade Park,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 18392 84.00 CO Mesa Glade Park,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
38,449.90000,444.90000,5.00 MHz,-DUP,FM,HLL Mexican Hat,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,49 100 149.00 UT San Juan Mexican Hat KD7HLL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
39,449.57500,444.57500,5.00 MHz,-DUP,FM,HND Grand Junction Black Ridge,T Sql,131.8 Hz,131.8 Hz,023,Both N,Off,8 155 88.00 CO Mesa Grand Junction Black Ridge WA4HND,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
40,449.30000,444.30000,5.00 MHz,-DUP,FM,HND Grand Junction Grand Mesa,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 154 124.00 CO Mesa Grand Junction Grand Mesa WA4HND,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
41,447.20000,442.20000,5.00 MHz,-DUP,FM,HND Montrose Waterdog Peak,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 69 165.00 CO Montrose Montrose Waterdog Peak WA4HND,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
42,449.80000,444.80000,5.00 MHz,-DUP,FM,HND Parachute Mount Callahan,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 253 162.00 CO Garfield Parachute Mount Callahan WA4HND,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
43,145.19000,144.59000,600 kHz,-DUP,FM,ITS Cortez Goodman,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 16606 153.00 CO Montezuma Cortez Goodman KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
44,447.27500,442.27500,5.00 MHz,-DUP,FM,ITS Dolores Summit Ridge,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 16623 153.00 CO Montezuma Dolores Summit Ridge KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
45,147.13500,147.73500,600 kHz,+DUP,FM,ITS Durango Smelter Mountain,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 11545 205.00 CO La Plata Durango Smelter Mountain KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
46,147.13500,147.73500,600 kHz,+DUP,FM,ITS Lake City Hill 71,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 16607 204.00 CO Hinsdale Lake City Hill 71 KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
47,145.32500,144.72500,600 kHz,-DUP,FM,ITS Mancos Caviness,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 18459 182.00 CO Montezuma Mancos Caviness KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
48,145.32500,144.72500,600 kHz,-DUP,FM,ITS Mancos Caviness Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 8168 182.00 CO Montezuma Mancos Caviness Mountain KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
49,442.37500,447.37500,5.00 MHz,+DUP,FM,ITS Mancos Caviness Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 15896 182.00 CO Montezuma Mancos Caviness Mountain KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
50,447.27500,442.27500,5.00 MHz,-DUP,FM,ITS Monticello Abajo Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 18460 82.00 UT San Juan Monticello Abajo Peak KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
51,448.82500,443.82500,5.00 MHz,-DUP,FM,ITS Montrose Raspberry,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 18465 149.00 CO Montrose Montrose Raspberry KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
52,147.27000,147.87000,600 kHz,+DUP,FM,ITS Ouray Engineer Mountain,Tone,127.3 Hz,127.3 Hz,023,Both N,Off,8 16604 175.00 CO Ouray Ouray Engineer Mountain KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
53,447.52500,442.52500,5.00 MHz,-DUP,FM,ITS Silverton,Tone,127.3 Hz,127.3 Hz,023,Both N,Off,8 210 185.00 CO San Juan Silverton KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
54,145.32500,144.72500,600 kHz,-DUP,FM,ITS Silverton Buffalo Boy,Tone,127.3 Hz,127.3 Hz,023,Both N,Off,8 16605 185.00 CO San Juan Silverton Buffalo Boy KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
55,444.00000,449.00000,5.00 MHz,+DUP,FM,ITS Silverton Hazelton,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,8 16624 185.00 CO San Juan Silverton Hazelton KB5ITS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
