Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,147.37500,147.97500,600 kHz,+DUP,FM,0BV Trinidad Raton Pass,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8180 292.00 CO Las Animas Trinidad Raton Pass K0BV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,147.10500,147.70500,600 kHz,+DUP,FM,0DE Simla,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 12167 331.00 CO Elbert Simla WA0DE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,146.61000,146.01000,600 kHz,-DUP,FM,0DK Boulder,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 13 291.00 CO Boulder Boulder W0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,146.73000,146.13000,600 kHz,-DUP,FM,0DK Boulder,T Sql,91.5 Hz,91.5 Hz,023,Both N,Off,8 15 299.00 CO Boulder Boulder K0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,146.70000,146.10000,600 kHz,-DUP,FM,0DK Boulder Table Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 14 291.00 CO Boulder Boulder Table Mountain W0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,145.38750,144.78750,600 kHz,-DUP,DV,0DS Boulder,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8171 299.00 CO Boulder Boulder KC0DS,,,CQCQCQ,KC0DS  C,KC0DS  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,146.68500,146.08500,600 kHz,-DUP,FM,0FH Estes Park,T Sql,123.0 Hz,123.0 Hz,023,Both N,Off,8 119 314.00 CO Larimer Estes Park N0FH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,147.03000,147.63000,600 kHz,+DUP,FM,0HG Allenspark AFPD Station #5,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 15670 296.00 CO Boulder Allenspark AFPD Station #5 KI0HG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,146.76000,146.16000,600 kHz,-DUP,FM,0IA Boulder Gunbarrel Hill,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 16 304.00 CO Boulder Boulder Gunbarrel Hill W0IA,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,146.91000,146.31000,600 kHz,-DUP,FM,0JZ Gold Hill,Tone,123.0 Hz,127.3 Hz,023,Both N,Off,8 13368 290.00 CO Boulder Gold Hill W0JZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,147.04500,147.64500,600 kHz,+DUP,FM,0ML Northglenn,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 185 302.00 CO Adams Northglenn K0ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,145.47500,144.87500,600 kHz,-DUP,FM,0SJ Boulder Blue Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 75 292.00 CO Jefferson Boulder Blue Mountain KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,145.28000,144.68000,600 kHz,-DUP,FM,0SJ Golden Centennial Cone,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 140 269.00 CO Jefferson Golden Centennial Cone KE0SJ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,146.65500,146.05500,600 kHz,-DUP,FM,0ST Pueblo Pueblo,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 192 263.00 CO Pueblo Pueblo Pueblo K0ST,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,146.85000,146.25000,600 kHz,-DUP,FM,0TP Colorado Springs,Tone,156.7 Hz,103.5 Hz,023,Both N,Off,8 42 263.00 CO El Paso Colorado Springs AD0TP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,53.09000,52.09000,1.00 MHz,-DUP,FM,0TX Lakewood Green Mountain,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 105 277.00 CO Jefferson Lakewood Green Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,147.33000,147.93000,600 kHz,+DUP,FM,0TX Lakewood Green Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 85 278.00 CO Jefferson Lakewood Green Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,145.13000,144.53000,600 kHz,-DUP,FM,5BC Albuquerque BCFD Fire Statio,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15613 339.00 NM Bernalillo Albuquerque BCFD Fire Station 35 NM5BC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,145.19000,144.59000,600 kHz,-DUP,DV,5EC Los Alamos Pajarito Mountain,None,100.0 Hz,100.0 Hz,023,Both N,Off,35 18232 267.00 NM Los Alamos Los Alamos Pajarito Mountain NM5EC,,,CQCQCQ,NM5EC  C,NM5EC  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,147.04000,147.64000,600 kHz,+DUP,FM,5EM Eagle Nest Touch Me Not,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15635 271.00 NM Colfax Eagle Nest Touch Me Not NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,146.98000,146.38000,600 kHz,-DUP,FM,5EM Grants Mt Taylor,T Sql,141.3 Hz,141.3 Hz,023,Both N,Off,35 5349 315.00 NM Cibola Grants Mt Taylor NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,147.02000,147.62000,600 kHz,+DUP,FM,5EM Santa Fe Tesuque Peak,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15631 303.00 NM Santa Fe Santa Fe Tesuque Peak NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
23,145.37000,144.77000,600 kHz,-DUP,FM,5EM Wagon Mound Turkey Mtn,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15621 335.00 NM Mora Wagon Mound Turkey Mtn NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
24,145.41000,144.81000,600 kHz,-DUP,FM,5HO La Cueva,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 15622 262.00 NM Santa Fe La Cueva W5HO,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
