Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,448.27500,443.27500,5.00 MHz,-DUP,FM,0BG Aurora,Tone,156.7 Hz,156.7 Hz,023,Both N,Off,8 8199 302.00 CO Arapahoe Aurora W0BG,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,147.37500,147.97500,600 kHz,+DUP,FM,0BV Trinidad Raton Pass,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8180 292.00 CO Las Animas Trinidad Raton Pass K0BV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,146.61000,146.01000,600 kHz,-DUP,FM,0DK Boulder,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 13 291.00 CO Boulder Boulder W0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,146.73000,146.13000,600 kHz,-DUP,FM,0DK Boulder,T Sql,91.5 Hz,91.5 Hz,023,Both N,Off,8 15 299.00 CO Boulder Boulder K0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,449.40000,444.40000,5.00 MHz,-DUP,FM,0DK Boulder,Tone,91.5 Hz,91.5 Hz,023,Both N,Off,8 21 295.00 CO Boulder Boulder K0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,448.90000,443.90000,5.00 MHz,-DUP,FM,0DK Boulder Table Mesa,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 10 291.00 CO Boulder Boulder Table Mesa W0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,146.70000,146.10000,600 kHz,-DUP,FM,0DK Boulder Table Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 14 291.00 CO Boulder Boulder Table Mountain W0DK,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,145.38750,144.78750,600 kHz,-DUP,DV,0DS Boulder,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8171 299.00 CO Boulder Boulder KC0DS,,,CQCQCQ,KC0DS  C,KC0DS  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,446.86250,441.86250,5.00 MHz,-DUP,DV,0DS Boulder,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8186 294.00 CO Boulder Boulder KC0DS,,,CQCQCQ,KC0DS  B,KC0DS  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,449.80000,444.80000,5.00 MHz,-DUP,FM,0FH Estes Park,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 120 312.00 CO Larimer Estes Park N0FH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
