Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,147.37500,147.97500,600 kHz,+DUP,FM,0BV Trinidad Raton Pass,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8180 395.00 CO Las Animas Trinidad Raton Pass K0BV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,147.10500,147.70500,600 kHz,+DUP,FM,0DE Simla,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 12167 414.00 CO Elbert Simla WA0DE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,147.04500,147.64500,600 kHz,+DUP,FM,0ML Northglenn,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,8 185 365.00 CO Adams Northglenn K0ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,145.13000,144.53000,600 kHz,-DUP,FM,5BC Albuquerque BCFD Fire Statio,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15613 407.00 NM Bernalillo Albuquerque BCFD Fire Station 35 NM5BC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,145.15000,144.55000,600 kHz,-DUP,FM,5BC Tijeras Cedro Peak,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 15614 425.00 NM Bernalillo Tijeras Cedro Peak NM5BC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,147.04000,147.64000,600 kHz,+DUP,FM,5EM Eagle Nest Touch Me Not,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15635 370.00 NM Colfax Eagle Nest Touch Me Not NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,146.98000,146.38000,600 kHz,-DUP,FM,5EM Grants Mt Taylor,T Sql,141.3 Hz,141.3 Hz,023,Both N,Off,35 5349 361.00 NM Cibola Grants Mt Taylor NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,147.02000,147.62000,600 kHz,+DUP,FM,5EM Santa Fe Tesuque Peak,Tone,141.3 Hz,141.3 Hz,023,Both N,Off,35 15631 389.00 NM Santa Fe Santa Fe Tesuque Peak NM5EM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,147.38000,147.98000,600 kHz,+DUP,FM,5GU Albuquerque,None,100.0 Hz,100.0 Hz,023,Both N,Off,35 24 417.00 NM Bernalillo Albuquerque N5GU,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,145.29000,144.69000,600 kHz,-DUP,FM,5ML Albuquerque Sandia Crest,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 15 406.00 NM Bernalillo Albuquerque Sandia Crest NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,146.66000,146.06000,600 kHz,-DUP,FM,5ML Grants Microwave Ridge,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 94 368.00 NM Cibola Grants Microwave Ridge NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,147.26000,147.86000,600 kHz,+DUP,FM,5ML Pecos Elk Mountain,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 145 404.00 NM San Miguel Pecos Elk Mountain NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,147.28000,147.88000,600 kHz,+DUP,FM,5ML Raton Sierra Grande,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 136 412.00 NM Colfax Raton Sierra Grande NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,147.34000,147.94000,600 kHz,+DUP,FM,5ML Tijeras Cedro Peak,Tone,67.0 Hz,67.0 Hz,023,Both N,Off,35 173 426.00 NM Bernalillo Tijeras Cedro Peak NM5ML,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,147.10000,147.70000,600 kHz,+DUP,FM,5RR Rio Rancho Rainbow,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,35 139 387.00 NM Sandoval Rio Rancho Rainbow NM5RR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
16,147.08000,147.68000,600 kHz,+DUP,FM,5SC Placitas La Madera,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 9768 396.00 NM Sandoval Placitas La Madera NM5SC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
17,147.30000,147.90000,600 kHz,+DUP,FM,5SF Las Vegas Elk Mountain,Tone,162.2 Hz,162.2 Hz,023,Both N,Off,35 115 404.00 NM San Miguel Las Vegas Elk Mountain W5SF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
18,145.21000,144.61000,600 kHz,-DUP,DV,5SF Santa Fe Food Depot,None,100.0 Hz,100.0 Hz,023,Both N,Off,35 13769 387.00 NM Santa Fe Santa Fe Food Depot W5SF,,,CQCQCQ,W5SF   C,W5SF   G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
19,147.20000,147.80000,600 kHz,+DUP,FM,5SF Santa Fe St Vincent Hospital,Tone,162.2 Hz,162.2 Hz,023,Both N,Off,35 154 390.00 NM Santa Fe Santa Fe St Vincent Hospital W5SF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
20,146.82000,146.22000,600 kHz,-DUP,FM,5SF Santa Fe Tesuque Peak,Tone,162.2 Hz,162.2 Hz,023,Both N,Off,35 153 389.00 NM Santa Fe Santa Fe Tesuque Peak W5SF,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
21,147.36000,147.96000,600 kHz,+DUP,FM,5XE Albuquerque,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,35 23 414.00 NM Bernalillo Albuquerque KB5XE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
22,443.50000,438.50000,5.00 MHz,-DUP,FM,5XE Albuquerque,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,35 16953 410.00 NM Bernalillo Albuquerque KE5XE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
23,147.39000,147.99000,600 kHz,+DUP,FM,7BN Rawlins,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 55 401.00 WY Carbon Rawlins KD7BN,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
24,53.15000,52.15000,1.00 MHz,-DUP,FM,7DX Salt Lake City Farnsworth Pe,Tone,146.2 Hz,146.2 Hz,023,Both N,Off,49 115 391.00 UT Salt Lake Salt Lake City Farnsworth Peak KI7DX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
25,147.30000,147.90000,600 kHz,+DUP,FM,7EO Tooele South Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 197 392.00 UT Tooele Tooele South Mountain W7EO,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
26,145.39000,144.79000,600 kHz,-DUP,FM,7EO Vernon Black Crook Peak,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 196 374.00 UT Tooele Vernon Black Crook Peak W7EO,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
27,146.76000,146.16000,600 kHz,-DUP,FM,7JH Cedar City Iron Mountain,Tone,123.0 Hz,123.0 Hz,023,Both N,Off,49 26 414.00 UT Iron Cedar City Iron Mountain K7JH,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
28,146.86000,146.26000,600 kHz,-DUP,FM,7JL Evanston Medicine Butte,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,56 2 379.00 WY Uinta Evanston Medicine Butte K7JL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
29,147.12000,147.72000,600 kHz,+DUP,FM,7JL Salt Lake City Farnsworth Pe,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 29 391.00 UT Salt Lake Salt Lake City Farnsworth Peak K7JL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
30,145.21000,144.61000,600 kHz,-DUP,FM,7JR Salt Lake City Capitol,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 2 380.00 UT Salt Lake Salt Lake City Capitol AA7JR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
31,146.98000,146.38000,600 kHz,-DUP,FM,7KM Cedar City Iron Mountain,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,49 146 414.00 UT Iron Cedar City Iron Mountain N7KM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
32,146.74000,146.14000,600 kHz,-DUP,FM,7NX Salt Lake City U of U Hospit,Tone,114.8 Hz,114.8 Hz,023,Both N,Off,49 144 377.00 UT Salt Lake Salt Lake City U of U Hospital KD7NX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
33,146.62000,146.02000,600 kHz,-DUP,FM,7SP Salt Lake City Farnsworth Pe,None,100.0 Hz,100.0 Hz,023,Both N,Off,49 212 391.00 UT Salt Lake Salt Lake City Farnsworth Peak W7SP,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
