Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,146.89500,146.29500,600 kHz,-DUP,FM,0AE Stratton 146.895,Tone,103.5 Hz,103.5 Hz,023,Both N,Off,8 122 200.00 CO Kit Carson Stratton KE0AE,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,147.37500,147.97500,600 kHz,+DUP,FM,0BV Trinidad Raton P,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 8180 275.00 CO Las Animas Trinidad Raton Pass K0BV,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,146.67000,146.07000,600 kHz,-DUP,FM,0CL Snowmass Village,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 211 181.00 CO Pitkin Snowmass Village K0CL,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,146.92500,146.32500,600 kHz,-DUP,FM,0JS Creede 146.925,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 63 265.00 CO Mineral Creede WA0JS,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,146.64000,146.04000,600 kHz,-DUP,FM,0KM Center 146.64,T Sql,77.0 Hz,77.0 Hz,023,Both N,Off,8 14200 234.00 CO Rio Grande Center N0KM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,447.10000,442.10000,5.00 MHz,-DUP,FM,0KM Center 447.1,Tone,77.0 Hz,77.0 Hz,023,Both N,Off,8 16645 234.00 CO Rio Grande Center N0KM,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,147.33000,147.93000,600 kHz,+DUP,FM,0MR Paonia 147.33,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 8179 247.00 CO Delta Paonia KI0MR,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,449.50000,444.50000,5.00 MHz,-DUP,FM,0SW Collbran 449.5,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 36 267.00 CO Mesa Collbran KB0SW,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,145.22000,144.62000,600 kHz,-DUP,FM,0TY Grand Junction 1,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 8167 321.00 CO Mesa Grand Junction KE0TY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,147.39000,147.99000,600 kHz,+DUP,FM,0TY Grand Junction 1,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 152 321.00 CO Mesa Grand Junction KE0TY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
