Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Select Scan,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Tx Data Mode,Data Mode,Split Tone Mode,Split CTCSS,Split Rx CTCSS,Split DCS,Split DCS Polarity,Tx Filter,Tx Operating Mode
1,145.11500,144.51500,600 kHz,-DUP,FM,W0PHC,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,8 191 154.00 CO Pueblo Pueblo W0PHC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
2,146.73000,146.13000,600 kHz,-DUP,FM,W0PHC,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,8 247 210.00 CO Huerfano Walsenburg N Rattlesnake Butte W0PHC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
3,146.79000,146.19000,600 kHz,-DUP,FM,W0PHC,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,8 193 144.00 CO Pueblo Pueblo Baculite Mesa W0PHC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
4,447.17500,442.17500,5.00 MHz,-DUP,FM,W0PHC,Tone,88.5 Hz,88.5 Hz,023,Both N,Off,8 197 178.00 CO Pueblo Pueblo Jackson Hill W0PHC,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
5,147.36000,147.96000,600 kHz,+DUP,FM,W0QEY,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 125 106.00 CO Larimer Fort Collins CSU Durward Hall W0QEY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
6,446.81250,441.81250,5.00 MHz,-DUP,DV,W0QEY,None,100.0 Hz,100.0 Hz,023,Both N,Off,8 8901 107.00 CO Larimer Fort Collins CSU Durward Hall W0QEY,,,CQCQCQ,W0QEY  B,W0QEY  G,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
7,449.85000,444.85000,5.00 MHz,-DUP,FM,W0QEY,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 124 108.00 CO Larimer Fort Collins CSU Durward Hall W0QEY,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
8,145.17500,144.57500,600 kHz,-DUP,FM,W0RRZ,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 147 317.00 CO Mesa Grand Junction GJT W0RRZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
9,146.94000,146.34000,600 kHz,-DUP,FM,W0RRZ,T Sql,107.2 Hz,107.2 Hz,023,Both N,Off,8 151 337.00 CO Mesa Grand Junction Black Ridge (Above Colorado Ntl Monument) W0RRZ,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
10,53.09000,51.39000,,-DUP,FM,W0TX,Tone,107.2 Hz,107.2 Hz,023,Both N,Off,8 105 26.00 CO Jefferson Lakewood Green Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
11,145.49000,144.89000,600 kHz,-DUP,FM,W0TX,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 76 52.00 CO Jefferson Idaho Springs Centennial Cone W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
12,147.33000,147.93000,600 kHz,+DUP,FM,W0TX,Tone,100.0 Hz,100.0 Hz,023,Both N,Off,8 85 22.00 CO Jefferson Lakewood Green Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
13,447.82500,442.82500,5.00 MHz,-DUP,FM,W0TX,DTCS,100.0 Hz,100.0 Hz,073,Both N,Off,8 5805 23.00 CO Jefferson Lakewood St Anthony Medical Campus W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
14,448.62500,443.62500,5.00 MHz,-DUP,FM,W0TX,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 112 42.00 CO Jefferson Golden Centennial Cone W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
15,449.35000,444.35000,5.00 MHz,-DUP,FM,W0TX,T Sql,100.0 Hz,100.0 Hz,023,Both N,Off,8 98 52.00 CO Clear Creek Idaho Springs Squaw Mountain W0TX,,,,,,Filter 1,,,None,88.5 Hz,88.5 Hz,023,Both N,Filter 1,FM
