Frequency,Name,Input,Tone
1.81,CW QRP,,
1.885,AM Simplex,,
1.9,AM Simplex,,
1.91,SSB QRP,,
1.945,AM Simplex,,
1.985,AM Simplex,,
3.59,RTTY DX,,
3.63,D-Star Simplex,,
3.81,SSB,,
3.825,AM Simplex,,
3.87,AM Simplex,,
3.88,AM Simplex,,
3.88,D-Star Simplex,,
3.885,AM Calling,,
3.989,SSB,,
3.9905,SSB,,
5.3305,USB,,
5.332,CW,,
5.332,RTTY,,
5.3465,USB,,
5.348,CW,,
5.348,RTTY,,
5.357,USB,,
5.3585,CW,,
5.3585,RTTY,,
5.3715,USB,,
5.373,CW,,
5.373,RTTY,,
5.4035,USB,,
5.405,CW,,
5.405,RTTY,,
7.04,RTTY DX,,
7.07,D-Star Simplex,,
7.24,SSB,,
7.285,D-Star Simplex,,
7.29,AM Calling,,
7.295,AM Simplex,,
14.13,D-Star Simplex,,
14.172,SSB,,
14.265,SSB,,
14.28,D-Star Simplex,,
14.286,AM Calling,,
14.32,D-Star Simplex,,
18.148,D-Star Simplex,,
18.15,AM Simplex,,
18.15,D-Star Simplex,,
21.18,D-Star Simplex,,
21.285,AM Simplex,,
21.38,D-Star Simplex,,
21.425,AM Simplex,,
24.932,D-Star Simplex,,
24.938,D-Star Simplex,,
24.96,D-Star Simplex,,
28.33,D-Star Simplex,,
29.48,D-Star Simplex,,
29.6,FM Calling,,
50.125,SSB Calling,,
50.25,AM Simplex,,
50.4,AM Simplex,,
50.63,D-Star Simplex,,
51.18,D-Star Simplex,,
51.5125,FM Simplex,,
51.525,FM Simplex,,
51.5375,FM Simplex,,
51.55,FM Simplex,,
51.5625,FM Simplex,,
51.575,FM Simplex,,
51.5875,FM Simplex,,
52.02,FM Simplex,,
52.04,FM Simplex,,
52.525,FM Calling Primary,,
52.54,FM Calling Secondary,,
53.02,FM Simplex,,
53.52,FM Simplex,,
53.9,FM Simplex,,
70.4875,D-Star Simplex,,
144.2,SSB Calling,,
144.28,AM Simplex,,
144.4,AM Simplex,,
144.425,AM Simplex,,
144.45,AM Simplex,,
145.5625,Fusion Simplex,,
145.67,D-Star Simplex,,
145.8,ISS VOICE for ITU Region 2&3 FM,144.49,
145.8,ISS U/v VOICE Repeater (Worldwide) FM,437.8,
145.8,ISS L/v VOICE Repeater (Worldwide) FM,1269.65,
145.825,ISS AX.25 1200 Bd AFSK Packet Radio (Worldwide) FM,145.825,
145.85,SAT Swiatowid FM,436,
145.88,SAT AO-92 (Fox-1D) FM,435.35,67
145.88,SAT AO-92 (Fox-1D) FM,1267.359,67
145.895,SAT FUNcube on ESEO FM,1263.5,
145.9,SAT PO-101 (Diwata-2) FM,437.5,141.3
145.96,SAT AO-91 (RadFxSat / Fox-1B) FM,435.25,67
146.4,FM Simplex,,
146.415,FM Simplex,,
146.43,FM Simplex,,
